epoch,train_loss,val_loss,val_mean_acc,val_mean_f1_macro,val_mean_auc,val_mean_auprc,epoch_time_sec,cumulative_train_time_sec,val_inference_time_ms_per_sample,val_acc_pfirrmann,val_f1_macro_pfirrmann,val_auc_pfirrmann,val_auprc_pfirrmann,f1_pfirrmann_class0,f1_pfirrmann_class1,f1_pfirrmann_class2,f1_pfirrmann_class3,f1_pfirrmann_class4,precision_pfirrmann_class0,precision_pfirrmann_class1,precision_pfirrmann_class2,precision_pfirrmann_class3,precision_pfirrmann_class4,recall_pfirrmann_class0,recall_pfirrmann_class1,recall_pfirrmann_class2,recall_pfirrmann_class3,recall_pfirrmann_class4,val_acc_modic,val_f1_macro_modic,val_auc_modic,val_auprc_modic,f1_modic_class0,f1_modic_class1,f1_modic_class2,f1_modic_class3,precision_modic_class0,precision_modic_class1,precision_modic_class2,precision_modic_class3,recall_modic_class0,recall_modic_class1,recall_modic_class2,recall_modic_class3,val_acc_disc_narrowing,val_f1_macro_disc_narrowing,val_auc_disc_narrowing,val_auprc_disc_narrowing,f1_disc_narrowing_class0,f1_disc_narrowing_class1,precision_disc_narrowing_class0,precision_disc_narrowing_class1,recall_disc_narrowing_class0,recall_disc_narrowing_class1,val_acc_spondylolisthesis,val_f1_macro_spondylolisthesis,val_auc_spondylolisthesis,val_auprc_spondylolisthesis,f1_spondylolisthesis_class0,f1_spondylolisthesis_class1,precision_spondylolisthesis_class0,precision_spondylolisthesis_class1,recall_spondylolisthesis_class0,recall_spondylolisthesis_class1,val_acc_up_endplate,val_f1_macro_up_endplate,val_auc_up_endplate,val_auprc_up_endplate,f1_up_endplate_class0,f1_up_endplate_class1,precision_up_endplate_class0,precision_up_endplate_class1,recall_up_endplate_class0,recall_up_endplate_class1,val_acc_low_endplate,val_f1_macro_low_endplate,val_auc_low_endplate,val_auprc_low_endplate,f1_low_endplate_class0,f1_low_endplate_class1,precision_low_endplate_class0,precision_low_endplate_class1,recall_low_endplate_class0,recall_low_endplate_class1,val_acc_disc_herniation,val_f1_macro_disc_herniation,val_auc_disc_herniation,val_auprc_disc_herniation,f1_disc_herniation_class0,f1_disc_herniation_class1,precision_disc_herniation_class0,precision_disc_herniation_class1,recall_disc_herniation_class0,recall_disc_herniation_class1,val_acc_disc_bulging,val_f1_macro_disc_bulging,val_auc_disc_bulging,val_auprc_disc_bulging,f1_disc_bulging_class0,f1_disc_bulging_class1,precision_disc_bulging_class0,precision_disc_bulging_class1,recall_disc_bulging_class0,recall_disc_bulging_class1
1,0.6209011557748763,0.5719704552864034,0.7361702127659575,0.5336729356448968,0.768069935824683,0.5441042456426677,73.80645871162415,73.80645871162415,65.59138196579953,0.41702127659574467,0.2326967753926215,0.8292004221203688,0.5428926941527547,0.0,0.5833333333333334,0.5213270142180095,0.0,0.058823529411764705,0.0,0.45652173913043476,0.3873239436619718,0.0,1.0,0.0,0.8076923076923077,0.7971014492753623,0.0,0.030303030303030304,0.625531914893617,0.2077937095282146,0.6742229379721717,0.5113948353520276,0.7659574468085106,0.0,0.06521739130434782,0.0,0.6233766233766234,0.0,0.75,0.0,0.993103448275862,0.0,0.03409090909090909,0.0,0.7914893617021277,0.7736342369616073,0.8995292733156811,0.8754141788986521,0.8372093023255814,0.7100591715976331,0.7455621301775148,0.9090909090909091,0.9545454545454546,0.5825242718446602,0.9744680851063829,0.49353448275862066,0.604075691411936,0.03688313731285241,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.6723404255319149,0.6340674230014762,0.7441325014854426,0.6780399931587379,0.752411575562701,0.5157232704402516,0.6685714285714286,0.6833333333333333,0.8602941176470589,0.41414141414141414,0.6893617021276596,0.6706598322102555,0.7826373626373626,0.754730843995902,0.7491408934707904,0.5921787709497207,0.6770186335403726,0.7162162162162162,0.8384615384615385,0.5047619047619047,0.9446808510638298,0.48577680525164113,0.7519057519057519,0.1086962495646765,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.774468085106383,0.7712202200547382,0.8588555457487497,0.8447820327057377,0.7439613526570048,0.7984790874524715,0.7403846153846154,0.8015267175572519,0.7475728155339806,0.7954545454545454
2,0.5228741613485045,0.5321957170808067,0.7473404255319149,0.5650616584990276,0.7926873163763848,0.5630262315813523,72.94027638435364,146.74673509597778,63.65497163001527,0.4553191489361702,0.39500412722870354,0.8414429422995259,0.5904581205126722,0.45454545454545453,0.28125,0.5714285714285714,0.06779661016949153,0.6,0.39473684210526316,0.75,0.4074074074074074,0.3333333333333333,0.8823529411764706,0.5357142857142857,0.17307692307692307,0.9565217391304348,0.03773584905660377,0.45454545454545453,0.676595744680851,0.27856007267771976,0.6920290753446845,0.5282897447619316,0.7899159663865546,0.0,0.32432432432432434,0.0,0.6650943396226415,0.0,0.782608695652174,0.0,0.9724137931034482,0.0,0.20454545454545456,0.0,0.7872340425531915,0.7739341234415884,0.9014416004707267,0.8777781493396098,0.8287671232876712,0.7191011235955056,0.75625,0.8533333333333334,0.9166666666666666,0.6213592233009708,0.9744680851063829,0.49353448275862066,0.7117903930131004,0.0654511343797425,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.676595744680851,0.6498039215686275,0.7551990493166962,0.6905463923821398,0.7466666666666667,0.5529411764705883,0.6829268292682927,0.6619718309859155,0.8235294117647058,0.47474747474747475,0.6978723404255319,0.6835467045993362,0.791062271062271,0.7671548139085504,0.7508771929824561,0.6162162162162163,0.6903225806451613,0.7125,0.823076923076923,0.5428571428571428,0.9446808510638298,0.48577680525164113,0.7848232848232848,0.136674735204955,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7659574468085106,0.760333030465983,0.8637099146807885,0.8478567621612172,0.7236180904522613,0.7970479704797048,0.75,0.7769784172661871,0.6990291262135923,0.8181818181818182
3,0.4921461793325715,0.5068013174924999,0.7696808510638298,0.5859337247303068,0.8078198011517728,0.5818515005798164,74.42713952064514,221.17387461662292,65.59517637212225,0.5319148936170213,0.44422260264375985,0.8522359705684266,0.6063634226496559,0.0,0.5736434108527132,0.6033519553072626,0.29411764705882354,0.75,0.0,0.4805194805194805,0.4909090909090909,0.6666666666666666,0.7741935483870968,0.0,0.7115384615384616,0.782608695652174,0.18867924528301888,0.7272727272727273,0.7319148936170212,0.3364448051948052,0.697029276748827,0.535395749082022,0.8154761904761905,0.0,0.5303030303030303,0.0,0.7172774869109948,0.0,0.7954545454545454,0.0,0.9448275862068966,0.0,0.3977272727272727,0.0,0.7914893617021277,0.7798657974727102,0.9037952338923213,0.8814209762840601,0.8304498269896193,0.7292817679558011,0.7643312101910829,0.8461538461538461,0.9090909090909091,0.6407766990291263,0.9744680851063829,0.49353448275862066,0.7743813682678311,0.1296448871399683,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.7063829787234043,0.6873373054896743,0.765002970885324,0.700160743896,0.764505119453925,0.6101694915254238,0.7133757961783439,0.6923076923076923,0.8235294117647058,0.5454545454545454,0.7106382978723405,0.7006145083932853,0.796043956043956,0.7728206837478119,0.7553956834532374,0.6458333333333334,0.7094594594594594,0.7126436781609196,0.8076923076923077,0.5904761904761905,0.9446808510638298,0.48577680525164113,0.8097713097713097,0.17934994575011862,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7659574468085106,0.7596734906379576,0.8642983230361871,0.8496555960888936,0.7208121827411168,0.7985347985347986,0.7553191489361702,0.7730496453900709,0.6893203883495146,0.8257575757575758
4,0.4763479581323721,0.48897651325290403,0.7760638297872341,0.595570222582688,0.8184248016646196,0.6014732105800201,73.60103034973145,294.77490496635437,64.39492448847345,0.5361702127659574,0.45859943977591044,0.8594830990087408,0.6252000432481537,0.0,0.56,0.5882352941176471,0.37333333333333335,0.7714285714285715,0.0,0.4794520547945205,0.49504950495049505,0.6363636363636364,0.7297297297297297,0.0,0.6730769230769231,0.7246376811594203,0.2641509433962264,0.8181818181818182,0.7404255319148936,0.34953703703703703,0.6980639400644052,0.5387357626126373,0.8148148148148148,0.0,0.5833333333333334,0.0,0.7374301675977654,0.0,0.75,0.0,0.9103448275862069,0.0,0.4772727272727273,0.0,0.8,0.7946300738178911,0.9058546631362165,0.8844142863100172,0.8278388278388278,0.7614213197969543,0.8014184397163121,0.7978723404255319,0.8560606060606061,0.7281553398058253,0.9744680851063829,0.49353448275862066,0.8195050946142649,0.21968086114427576,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.723404255319149,0.7123839650530042,0.7704248366013071,0.7053938029189734,0.7686832740213523,0.656084656084656,0.7448275862068966,0.6888888888888889,0.7941176470588235,0.6262626262626263,0.7191489361702128,0.7103316898251906,0.7983882783882785,0.7758115874073281,0.7608695652173914,0.6597938144329897,0.7191780821917808,0.7191011235955056,0.8076923076923077,0.6095238095238096,0.9446808510638298,0.48577680525164113,0.8316008316008316,0.2083311609047872,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7702127659574468,0.7597682871422081,0.8640776699029127,0.8542181800939883,0.7096774193548387,0.8098591549295775,0.7951807228915663,0.756578947368421,0.6407766990291263,0.8712121212121212
5,0.46724403813733895,0.4817905196454376,0.7845744680851063,0.6067065164253745,0.8197751401535297,0.6085011538223704,74.74722170829773,369.5221266746521,64.72756811913024,0.5574468085106383,0.5052400414328857,0.8631878100226744,0.6367925691344855,0.18181818181818182,0.5669291338582677,0.6049382716049383,0.39473684210526316,0.7777777777777778,0.6,0.48,0.5268817204301075,0.6521739130434783,0.717948717948718,0.10714285714285714,0.6923076923076923,0.7101449275362319,0.2830188679245283,0.8484848484848485,0.7574468085106383,0.3616554054054054,0.7014613437621323,0.5423725834924532,0.825,0.0,0.6216216216216216,0.0,0.7542857142857143,0.0,0.7666666666666667,0.0,0.9103448275862069,0.0,0.5227272727272727,0.0,0.8042553191489362,0.797474520383693,0.9085025007355104,0.8878660437917393,0.8345323741007195,0.7604166666666666,0.7945205479452054,0.8202247191011236,0.8787878787878788,0.7087378640776699,0.9744680851063829,0.49353448275862066,0.814410480349345,0.24364902254090587,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.7148936170212766,0.6963999922870752,0.7741384432560903,0.7100151158473901,0.7713310580204779,0.6214689265536724,0.7197452229299363,0.7051282051282052,0.8308823529411765,0.5555555555555556,0.7404255319148936,0.734187542880454,0.8029304029304029,0.7824883294182883,0.7749077490774908,0.6934673366834171,0.7446808510638298,0.7340425531914894,0.8076923076923077,0.6571428571428571,0.9446808510638298,0.48577680525164113,0.8264033264033265,0.2138936786855318,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7829787234042553,0.7793833410032214,0.8671668137687555,0.8509318876681687,0.751219512195122,0.8075471698113208,0.7549019607843137,0.8045112781954887,0.7475728155339806,0.8106060606060606
6,0.4616782129821131,0.477050203566129,0.7909574468085107,0.6205224992773456,0.8224015079488737,0.6363676805598795,75.196848154068,444.7189748287201,66.52539131489206,0.6,0.6075975929478526,0.867340439466424,0.651125462352201,0.5957446808510638,0.5882352941176471,0.5853658536585366,0.4578313253012048,0.8108108108108109,0.7368421052631579,0.6,0.5052631578947369,0.6333333333333333,0.7317073170731707,0.5,0.5769230769230769,0.6956521739130435,0.3584905660377358,0.9090909090909091,0.7531914893617021,0.36067645768483503,0.6981203242243645,0.5433006795673428,0.8201892744479495,0.0,0.6225165562913907,0.0,0.7558139534883721,0.0,0.746031746031746,0.0,0.896551724137931,0.0,0.5340909090909091,0.0,0.8297872340425532,0.8281409975135293,0.912180052956752,0.8913193579110225,0.8449612403100775,0.8113207547169812,0.8650793650793651,0.7889908256880734,0.8257575757575758,0.8349514563106796,0.9744680851063829,0.49353448275862066,0.8158660844250364,0.3846284135918282,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.7148936170212766,0.6950121065375303,0.7800059417706476,0.7179979641176426,0.7728813559322034,0.6171428571428571,0.7169811320754716,0.7105263157894737,0.8382352941176471,0.5454545454545454,0.7276595744680852,0.7191095174062453,0.8062271062271064,0.7846038054901211,0.7681159420289855,0.6701030927835051,0.726027397260274,0.7303370786516854,0.8153846153846154,0.6190476190476191,0.9446808510638298,0.48577680525164113,0.8309078309078309,0.2610121297169209,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7829787234042553,0.7743320341185109,0.8685642836128273,0.8569536317319573,0.7301587301587301,0.8185053380782918,0.8023255813953488,0.7718120805369127,0.6699029126213593,0.8712121212121212
7,0.4537010753558854,0.4719774485565722,0.7888297872340426,0.6187790485207114,0.8242475243203755,0.6474574818413223,76.825932264328,521.5449070930481,65.55340137887508,0.5659574468085107,0.561275466009697,0.8667243370290272,0.647798822527181,0.45,0.5523809523809524,0.5647058823529412,0.43373493975903615,0.8055555555555556,0.75,0.5471698113207547,0.4752475247524752,0.6,0.7435897435897436,0.32142857142857145,0.5576923076923077,0.6956521739130435,0.33962264150943394,0.8787878787878788,0.7617021276595745,0.3673606101205813,0.6971752470576971,0.543856626302914,0.8242811501597445,0.0,0.6451612903225806,0.0,0.7678571428571429,0.0,0.746268656716418,0.0,0.8896551724137931,0.0,0.5681818181818182,0.0,0.8127659574468085,0.8094500958278048,0.911738746690203,0.8915737539906388,0.8345864661654135,0.7843137254901961,0.8283582089552238,0.7920792079207921,0.8409090909090909,0.7766990291262136,0.9744680851063829,0.49353448275862066,0.8216885007278021,0.46383797653958947,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.7276595744680852,0.7199463727096678,0.7875074272133096,0.719440058164544,0.7664233576642335,0.673469387755102,0.7608695652173914,0.6804123711340206,0.7720588235294118,0.6666666666666666,0.7531914893617021,0.7498899001761596,0.8087912087912087,0.7887678669575973,0.7786259541984732,0.7211538461538461,0.7727272727272727,0.7281553398058253,0.7846153846153846,0.7142857142857143,0.9446808510638298,0.48577680525164113,0.8309078309078309,0.26507281228440116,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7702127659574468,0.7629986553115196,0.8694468961459252,0.8593119379637136,0.7216494845360825,0.8043478260869565,0.7692307692307693,0.7708333333333334,0.6796116504854369,0.8409090909090909
8,0.45213724496000907,0.4700925699590395,0.7893617021276595,0.6367278891075909,0.8265810744853399,0.6490049016025242,74.04027271270752,595.5851798057556,64.43680803826516,0.6212765957446809,0.6340604409057015,0.8694273602838397,0.6578843005704738,0.5777777777777777,0.6055045871559633,0.5833333333333334,0.5631067961165048,0.8405797101449275,0.7647058823529411,0.5789473684210527,0.56,0.58,0.8055555555555556,0.4642857142857143,0.6346153846153846,0.6086956521739131,0.5471698113207547,0.8787878787878788,0.7531914893617021,0.36162464985994397,0.7000174683136269,0.5450398579917255,0.819047619047619,0.0,0.6274509803921569,0.0,0.7588235294117647,0.0,0.7384615384615385,0.0,0.8896551724137931,0.0,0.5454545454545454,0.0,0.8042553191489362,0.7998148148148148,0.9103412768461312,0.8906062852408616,0.8296296296296296,0.77,0.8115942028985508,0.7938144329896907,0.8484848484848485,0.7475728155339806,0.9787234042553191,0.6374575748225857,0.8289665211062591,0.46047997417860426,0.9892008639308856,0.2857142857142857,0.9786324786324786,1.0,1.0,0.16666666666666666,0.7148936170212766,0.6920534334721977,0.7878787878787878,0.7236984206315329,0.7759197324414716,0.6081871345029239,0.7116564417177914,0.7222222222222222,0.8529411764705882,0.5252525252525253,0.723404255319149,0.7113622191568565,0.8108424908424908,0.7892599208173856,0.7703180212014135,0.6524064171122995,0.7124183006535948,0.7439024390243902,0.8384615384615385,0.580952380952381,0.9446808510638298,0.48577680525164113,0.835065835065835,0.2690918952051796,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.774468085106383,0.7716731745769858,0.8701088555457488,0.8559785581844301,0.7464114832535885,0.7969348659003831,0.7358490566037735,0.8062015503875969,0.7572815533980582,0.7878787878787878
9,0.44793670965453325,0.4650833264614145,0.7914893617021277,0.6526439105809679,0.8281392146359119,0.652328611382456,73.91714978218079,669.5023295879364,66.25231073257771,0.5872340425531914,0.5841697932513444,0.8701936181048197,0.6588666445002769,0.4878048780487805,0.5964912280701754,0.5786163522012578,0.4523809523809524,0.8055555555555556,0.7692307692307693,0.5483870967741935,0.5111111111111111,0.6129032258064516,0.7435897435897436,0.35714285714285715,0.6538461538461539,0.6666666666666666,0.3584905660377358,0.8787878787878788,0.7531914893617021,0.3634157330984906,0.699819659751371,0.5462020993965062,0.8167202572347267,0.0,0.6369426751592356,0.0,0.7650602409638554,0.0,0.7246376811594203,0.0,0.8758620689655172,0.0,0.5681818181818182,0.0,0.8127659574468085,0.8085185185185185,0.9118858487790527,0.8922658235925742,0.837037037037037,0.78,0.8188405797101449,0.8041237113402062,0.8560606060606061,0.7572815533980582,0.9829787234042553,0.7456709956709957,0.8282387190684134,0.45953030656226995,0.9913419913419913,0.5,0.9828326180257511,1.0,1.0,0.3333333333333333,0.7191489361702128,0.709419964028777,0.7929292929292929,0.7264557639562634,0.762589928057554,0.65625,0.7464788732394366,0.6774193548387096,0.7794117647058824,0.6363636363636364,0.7531914893617021,0.749374816122389,0.8133333333333334,0.7929979347824967,0.7803030303030303,0.7184466019417476,0.7686567164179104,0.7326732673267327,0.7923076923076923,0.7047619047619048,0.9446808510638298,0.48577680525164113,0.8385308385308385,0.28691227042011,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7787234042553192,0.7748046587055875,0.8701824065901735,0.8553980478491501,0.7450980392156863,0.8045112781954887,0.7524752475247525,0.7985074626865671,0.7378640776699029,0.8106060606060606
10,0.4435039748579769,0.462936951033771,0.7925531914893618,0.6562400426518249,0.8290051955016475,0.654128875652489,74.0875289440155,743.5898585319519,64.71917882878729,0.5829787234042553,0.6023752230803616,0.870289596538049,0.6603070718456775,0.5909090909090909,0.5742574257425742,0.5398773006134969,0.4782608695652174,0.8285714285714286,0.8125,0.5918367346938775,0.46808510638297873,0.5641025641025641,0.7837837837837838,0.4642857142857143,0.5576923076923077,0.6376811594202898,0.41509433962264153,0.8787878787878788,0.7446808510638298,0.35862330268089376,0.6997695900510971,0.5465405000812377,0.8102893890675241,0.0,0.6242038216560509,0.0,0.7590361445783133,0.0,0.7101449275362319,0.0,0.8689655172413793,0.0,0.5568181818181818,0.0,0.8170212765957446,0.8139898757478141,0.913503971756399,0.8941575218403219,0.8377358490566038,0.7902439024390244,0.8345864661654135,0.7941176470588235,0.8409090909090909,0.7864077669902912,0.9829787234042553,0.7456709956709957,0.8311499272197962,0.4599192198529946,0.9913419913419913,0.5,0.9828326180257511,1.0,1.0,0.3333333333333333,0.7319148936170212,0.722175308224962,0.7945632798573976,0.7281948240061249,0.7741935483870968,0.6701570680628273,0.7552447552447552,0.6956521739130435,0.7941176470588235,0.6464646464646465,0.7489361702127659,0.7414452214452214,0.8122344322344323,0.7918203000969194,0.7854545454545454,0.6974358974358974,0.7448275862068966,0.7555555555555555,0.8307692307692308,0.6476190476190476,0.9446808510638298,0.48577680525164113,0.8388773388773388,0.29187783700024406,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7872340425531915,0.7798636091127098,0.8716534274786703,0.8602137304963915,0.7395833333333334,0.8201438848920863,0.797752808988764,0.7808219178082192,0.6893203883495146,0.8636363636363636
