epoch,train_loss,val_loss,val_mean_acc,val_mean_f1_macro,val_acc_pfirrmann,val_f1_macro_pfirrmann,f1_pfirrmann_class0,f1_pfirrmann_class1,f1_pfirrmann_class2,f1_pfirrmann_class3,f1_pfirrmann_class4,precision_pfirrmann_class0,precision_pfirrmann_class1,precision_pfirrmann_class2,precision_pfirrmann_class3,precision_pfirrmann_class4,recall_pfirrmann_class0,recall_pfirrmann_class1,recall_pfirrmann_class2,recall_pfirrmann_class3,recall_pfirrmann_class4,val_acc_modic,val_f1_macro_modic,f1_modic_class0,f1_modic_class1,f1_modic_class2,f1_modic_class3,precision_modic_class0,precision_modic_class1,precision_modic_class2,precision_modic_class3,recall_modic_class0,recall_modic_class1,recall_modic_class2,recall_modic_class3,val_acc_disc_narrowing,val_f1_macro_disc_narrowing,f1_disc_narrowing_class0,f1_disc_narrowing_class1,precision_disc_narrowing_class0,precision_disc_narrowing_class1,recall_disc_narrowing_class0,recall_disc_narrowing_class1,val_acc_spondylolisthesis,val_f1_macro_spondylolisthesis,f1_spondylolisthesis_class0,f1_spondylolisthesis_class1,precision_spondylolisthesis_class0,precision_spondylolisthesis_class1,recall_spondylolisthesis_class0,recall_spondylolisthesis_class1
1,0.9757586320241293,1.012857524678111,0.7542553191489362,0.5364221747797111,0.46808510638297873,0.46603123644282063,0.524822695035461,0.3010752688172043,0.4077669902912621,0.38596491228070173,0.7105263157894737,0.3854166666666667,0.3333333333333333,0.6,0.5789473684210527,0.627906976744186,0.8222222222222222,0.27450980392156865,0.3088235294117647,0.2894736842105263,0.8181818181818182,0.7531914893617021,0.3548268648744881,0.8353658536585366,0.0,0.583941605839416,0.0,0.8154761904761905,0.0,0.5970149253731343,0.0,0.85625,0.0,0.5714285714285714,0.0,0.8468085106382979,0.8379310344827586,0.8758620689655172,0.8,0.8819444444444444,0.7912087912087912,0.8698630136986302,0.8089887640449438,0.948936170212766,0.4868995633187773,0.9737991266375546,0.0,0.9570815450643777,0.0,0.9911111111111112,0.0
2,0.8405657649040222,0.9583978317677975,0.776595744680851,0.5893028179074347,0.5574468085106383,0.5182621678076897,0.6068965517241379,0.10526315789473684,0.6259541984732825,0.47058823529411764,0.782608695652174,0.44,0.5,0.6507936507936508,0.5333333333333333,0.75,0.9777777777777777,0.058823529411764705,0.6029411764705882,0.42105263157894735,0.8181818181818182,0.7787234042553192,0.3691919191919192,0.8545454545454545,0.0,0.6222222222222222,0.0,0.8294117647058824,0.0,0.6461538461538462,0.0,0.88125,0.0,0.6,0.0,0.8382978723404255,0.8210277376944044,0.8766233766233766,0.7654320987654321,0.8333333333333334,0.8493150684931506,0.9246575342465754,0.6966292134831461,0.9319148936170213,0.648729446935725,0.9641255605381166,0.3333333333333333,0.9728506787330317,0.2857142857142857,0.9555555555555556,0.4
3,0.7808693091074626,0.9118549572303891,0.778723404255319,0.6117933564074324,0.5787234042553191,0.5729541292040334,0.631578947368421,0.36585365853658536,0.6106870229007634,0.4788732394366197,0.7777777777777778,0.5217391304347826,0.4838709677419355,0.6349206349206349,0.5151515151515151,0.717948717948718,0.8,0.29411764705882354,0.5882352941176471,0.4473684210526316,0.8484848484848485,0.7531914893617021,0.36263550849959925,0.8280254777070064,0.0,0.6225165562913907,0.0,0.8441558441558441,0.0,0.5802469135802469,0.0,0.8125,0.0,0.6714285714285714,0.0,0.8553191489361702,0.8455859616573902,0.8843537414965986,0.8068181818181818,0.8783783783783784,0.8160919540229885,0.8904109589041096,0.797752808988764,0.9276595744680851,0.6659978262687066,0.9616252821670429,0.37037037037037035,0.9770642201834863,0.29411764705882354,0.9466666666666667,0.5
4,0.7470741113026936,0.8748627798631787,0.7787234042553192,0.6142004344210789,0.5787234042553191,0.5813843928329256,0.5185185185185185,0.49557522123893805,0.6153846153846154,0.5142857142857142,0.7631578947368421,0.5833333333333334,0.45161290322580644,0.6451612903225806,0.5625,0.6744186046511628,0.4666666666666667,0.5490196078431373,0.5882352941176471,0.47368421052631576,0.8787878787878788,0.7489361702127659,0.36067555069783086,0.8242811501597445,0.0,0.618421052631579,0.0,0.8431372549019608,0.0,0.573170731707317,0.0,0.80625,0.0,0.6714285714285714,0.0,0.8638297872340426,0.8565323565323565,0.8888888888888888,0.8241758241758241,0.9014084507042254,0.8064516129032258,0.8767123287671232,0.8426966292134831,0.9234042553191489,0.6582094376212023,0.9592760180995475,0.35714285714285715,0.9769585253456221,0.2777777777777778,0.9422222222222222,0.5
5,0.7217195570468903,0.8633090546354651,0.776595744680851,0.6117441350855769,0.574468085106383,0.5761327663342509,0.5365853658536586,0.5043478260869565,0.6074074074074074,0.45454545454545453,0.7777777777777778,0.5945945945945946,0.453125,0.6119402985074627,0.5357142857142857,0.717948717948718,0.4888888888888889,0.5686274509803921,0.6029411764705882,0.39473684210526316,0.8484848484848485,0.7489361702127659,0.3634395744856307,0.8208469055374593,0.0,0.6329113924050633,0.0,0.8571428571428571,0.0,0.5681818181818182,0.0,0.7875,0.0,0.7142857142857143,0.0,0.8638297872340426,0.8565323565323565,0.8888888888888888,0.8241758241758241,0.9014084507042254,0.8064516129032258,0.8767123287671232,0.8426966292134831,0.9191489361702128,0.6508718429900696,0.9569160997732427,0.3448275862068966,0.9768518518518519,0.2631578947368421,0.9377777777777778,0.5
6,0.7012352506319682,0.8379241190850735,0.7765957446808511,0.6108396227585742,0.5914893617021276,0.5990738722862134,0.6206896551724138,0.5272727272727272,0.5714285714285714,0.5128205128205128,0.7631578947368421,0.6428571428571429,0.4915254237288136,0.6666666666666666,0.5,0.6744186046511628,0.6,0.5686274509803921,0.5,0.5263157894736842,0.8787878787878788,0.7489361702127659,0.3625529001742594,0.8220064724919094,0.0,0.6282051282051282,0.0,0.8523489932885906,0.0,0.5697674418604651,0.0,0.79375,0.0,0.7,0.0,0.8638297872340426,0.8565323565323565,0.8888888888888888,0.8241758241758241,0.9014084507042254,0.8064516129032258,0.8767123287671232,0.8426966292134831,0.902127659574468,0.6251993620414673,0.9473684210526315,0.30303030303030304,0.9764150943396226,0.21739130434782608,0.92,0.5
7,0.6713953832785289,0.8371177529916167,0.7744680851063829,0.6118238083406096,0.6,0.603691544376476,0.6346153846153846,0.4666666666666667,0.6031746031746031,0.5194805194805194,0.7945205479452054,0.559322033898305,0.5384615384615384,0.6551724137931034,0.5128205128205128,0.725,0.7333333333333333,0.4117647058823529,0.5588235294117647,0.5263157894736842,0.8787878787878788,0.7489361702127659,0.3634395744856307,0.8208469055374593,0.0,0.6329113924050633,0.0,0.8571428571428571,0.0,0.5681818181818182,0.0,0.7875,0.0,0.7142857142857143,0.0,0.8638297872340426,0.8576404664546419,0.8873239436619719,0.8279569892473119,0.9130434782608695,0.7938144329896907,0.863013698630137,0.8651685393258427,0.8851063829787233,0.6225236480456898,0.9373549883990719,0.3076923076923077,0.9805825242718447,0.20689655172413793,0.8977777777777778,0.6
8,0.6543254514535268,0.8540661870501935,0.7723404255319148,0.6070485384815509,0.5914893617021276,0.6022680535628886,0.6041666666666666,0.47058823529411764,0.6,0.5365853658536586,0.8,0.5686274509803921,0.47058823529411764,0.6923076923076923,0.5,0.7567567567567568,0.6444444444444445,0.47058823529411764,0.5294117647058824,0.5789473684210527,0.8484848484848485,0.7489361702127659,0.36429303278688524,0.819672131147541,0.0,0.6375,0.0,0.8620689655172413,0.0,0.5666666666666667,0.0,0.78125,0.0,0.7285714285714285,0.0,0.851063829787234,0.8420971798268349,0.8797250859106529,0.8044692737430168,0.8827586206896552,0.8,0.8767123287671232,0.8089887640449438,0.8978723404255319,0.6195358877495952,0.944954128440367,0.29411764705882354,0.976303317535545,0.20833333333333334,0.9155555555555556,0.5
9,0.640828400850296,0.8537053656764328,0.774468085106383,0.6079294309643011,0.5872340425531914,0.5890820157085217,0.6363636363636364,0.3855421686746988,0.5846153846153846,0.5333333333333333,0.8055555555555556,0.5384615384615384,0.5,0.6129032258064516,0.5405405405405406,0.7435897435897436,0.7777777777777778,0.3137254901960784,0.5588235294117647,0.5263157894736842,0.8787878787878788,0.7446808510638298,0.3596774193548387,0.8193548387096774,0.0,0.6193548387096774,0.0,0.8466666666666667,0.0,0.5647058823529412,0.0,0.79375,0.0,0.6857142857142857,0.0,0.8553191489361702,0.8455859616573902,0.8843537414965986,0.8068181818181818,0.8783783783783784,0.8160919540229885,0.8904109589041096,0.797752808988764,0.9106382978723404,0.6373723271364539,0.9521640091116174,0.3225806451612903,0.9766355140186916,0.23809523809523808,0.9288888888888889,0.5
10,0.6444969664017359,0.8514420296996832,0.7765957446808511,0.6126956960945189,0.5914893617021276,0.5979140943065094,0.6274509803921569,0.45161290322580644,0.5967741935483871,0.525,0.7887323943661971,0.5614035087719298,0.5,0.6607142857142857,0.5,0.7368421052631579,0.7111111111111111,0.4117647058823529,0.5441176470588235,0.5526315789473685,0.8484848484848485,0.7446808510638298,0.363151586559948,0.8145695364238411,0.0,0.6380368098159509,0.0,0.8661971830985915,0.0,0.5591397849462365,0.0,0.76875,0.0,0.7428571428571429,0.0,0.8595744680851064,0.8523447763751641,0.8850174216027874,0.819672131147541,0.900709219858156,0.7978723404255319,0.8698630136986302,0.8426966292134831,0.9106382978723404,0.6373723271364539,0.9521640091116174,0.3225806451612903,0.9766355140186916,0.23809523809523808,0.9288888888888889,0.5
