epoch,train_loss,val_loss,val_mean_acc,val_mean_f1_macro,val_acc_pfirrmann,val_f1_macro_pfirrmann,f1_pfirrmann_class0,f1_pfirrmann_class1,f1_pfirrmann_class2,f1_pfirrmann_class3,f1_pfirrmann_class4,precision_pfirrmann_class0,precision_pfirrmann_class1,precision_pfirrmann_class2,precision_pfirrmann_class3,precision_pfirrmann_class4,recall_pfirrmann_class0,recall_pfirrmann_class1,recall_pfirrmann_class2,recall_pfirrmann_class3,recall_pfirrmann_class4,val_acc_modic,val_f1_macro_modic,f1_modic_class0,f1_modic_class1,f1_modic_class2,f1_modic_class3,precision_modic_class0,precision_modic_class1,precision_modic_class2,precision_modic_class3,recall_modic_class0,recall_modic_class1,recall_modic_class2,recall_modic_class3,val_acc_disc_narrowing,val_f1_macro_disc_narrowing,f1_disc_narrowing_class0,f1_disc_narrowing_class1,precision_disc_narrowing_class0,precision_disc_narrowing_class1,recall_disc_narrowing_class0,recall_disc_narrowing_class1,val_acc_spondylolisthesis,val_f1_macro_spondylolisthesis,f1_spondylolisthesis_class0,f1_spondylolisthesis_class1,precision_spondylolisthesis_class0,precision_spondylolisthesis_class1,recall_spondylolisthesis_class0,recall_spondylolisthesis_class1
1,0.9741189261277516,0.9893235247582197,0.7414893617021278,0.53596171519654,0.42127659574468085,0.43073870355296007,0.45161290322580644,0.43137254901960786,0.32967032967032966,0.375,0.5660377358490566,0.4375,0.3235294117647059,0.6521739130434783,0.35714285714285715,0.75,0.4666666666666667,0.6470588235294118,0.22058823529411764,0.39473684210526316,0.45454545454545453,0.7914893617021277,0.37023460410557185,0.8680351906158358,0.0,0.6129032258064516,0.0,0.8176795580110497,0.0,0.7037037037037037,0.0,0.925,0.0,0.5428571428571428,0.0,0.8,0.7779854871454703,0.8478964401294499,0.7080745341614907,0.803680981595092,0.7916666666666666,0.8972602739726028,0.6404494382022472,0.9531914893617022,0.5648880659821579,0.975929978118162,0.15384615384615385,0.9612068965517241,0.3333333333333333,0.9911111111111112,0.1
2,0.858517301082611,0.9431355660781264,0.7478723404255319,0.5618070448952622,0.4851063829787234,0.4960993483503686,0.5567010309278351,0.42735042735042733,0.39603960396039606,0.4827586206896552,0.6176470588235294,0.5192307692307693,0.3787878787878788,0.6060606060606061,0.42857142857142855,0.6,0.6,0.49019607843137253,0.29411764705882354,0.5526315789473685,0.6363636363636364,0.7574468085106383,0.3642278651874974,0.8343949044585988,0.0,0.6225165562913907,0.0,0.8506493506493507,0.0,0.5802469135802469,0.0,0.81875,0.0,0.6714285714285714,0.0,0.8127659574468085,0.7982675199001092,0.8523489932885906,0.7441860465116279,0.8355263157894737,0.7710843373493976,0.8698630136986302,0.7191011235955056,0.9361702127659575,0.5886334461430739,0.9667405764966741,0.21052631578947367,0.9646017699115044,0.2222222222222222,0.9688888888888889,0.2
3,0.8097801605860392,0.9042233312502503,0.7478723404255319,0.5694354180999314,0.49361702127659574,0.4953400394993233,0.5871559633027523,0.39603960396039606,0.41818181818181815,0.4411764705882353,0.6341463414634146,0.5,0.4,0.5476190476190477,0.5,0.5306122448979592,0.7111111111111111,0.39215686274509803,0.3382352941176471,0.39473684210526316,0.7878787878787878,0.774468085106383,0.37212809652162754,0.8490566037735849,0.0,0.6394557823129252,0.0,0.8544303797468354,0.0,0.6103896103896104,0.0,0.84375,0.0,0.6714285714285714,0.0,0.8212765957446808,0.807437178086468,0.8590604026845637,0.7558139534883721,0.8421052631578947,0.7831325301204819,0.8767123287671232,0.7303370786516854,0.902127659574468,0.6028363582923066,0.9476082004555809,0.25806451612903225,0.9719626168224299,0.19047619047619047,0.9244444444444444,0.4
4,0.7643431584040324,0.8864604458212852,0.7446808510638298,0.5713401106170948,0.502127659574468,0.5052761726532219,0.5227272727272727,0.4144144144144144,0.4918032786885246,0.4307692307692308,0.6666666666666666,0.5348837209302325,0.38333333333333336,0.5555555555555556,0.5185185185185185,0.5490196078431373,0.5111111111111111,0.45098039215686275,0.4411764705882353,0.3684210526315789,0.8484848484848485,0.7489361702127659,0.36221978658284393,0.8246753246753247,0.0,0.6242038216560509,0.0,0.8581081081081081,0.0,0.5632183908045977,0.0,0.79375,0.0,0.7,0.0,0.825531914893617,0.8150281249400064,0.8591065292096219,0.770949720670391,0.8620689655172413,0.7666666666666667,0.8561643835616438,0.7752808988764045,0.902127659574468,0.6028363582923066,0.9476082004555809,0.25806451612903225,0.9719626168224299,0.19047619047619047,0.9244444444444444,0.4
5,0.7436604380607605,0.8719042204320431,0.7404255319148937,0.5726920733230743,0.49361702127659574,0.4971027341075687,0.5333333333333333,0.4406779661016949,0.4339622641509434,0.4411764705882353,0.6363636363636364,0.5333333333333333,0.3880597014925373,0.6052631578947368,0.5,0.509090909090909,0.5333333333333333,0.5098039215686274,0.3382352941176471,0.39473684210526316,0.8484848484848485,0.7489361702127659,0.36480721569902086,0.8211920529801324,0.0,0.6380368098159509,0.0,0.8732394366197183,0.0,0.5591397849462365,0.0,0.775,0.0,0.7428571428571429,0.0,0.8297872340425532,0.8199233716475096,0.8620689655172413,0.7777777777777778,0.8680555555555556,0.7692307692307693,0.8561643835616438,0.7865168539325843,0.8893617021276595,0.6089349718381977,0.9400921658986175,0.2777777777777778,0.9760765550239234,0.19230769230769232,0.9066666666666666,0.5
6,0.7217659175395965,0.8588728830218315,0.7468085106382979,0.5820811673183199,0.5148936170212766,0.5145711119234315,0.6019417475728155,0.40860215053763443,0.47368421052631576,0.4533333333333333,0.6352941176470588,0.5344827586206896,0.4523809523809524,0.5869565217391305,0.4594594594594595,0.5192307692307693,0.6888888888888889,0.37254901960784315,0.39705882352941174,0.4473684210526316,0.8181818181818182,0.7531914893617021,0.3667644542232001,0.8250825082508251,0.0,0.6419753086419753,0.0,0.8741258741258742,0.0,0.5652173913043478,0.0,0.78125,0.0,0.7428571428571429,0.0,0.8425531914893617,0.8344471735115477,0.8710801393728222,0.7978142076502732,0.8865248226950354,0.776595744680851,0.8561643835616438,0.8202247191011236,0.8765957446808511,0.6125419296151003,0.9324009324009324,0.2926829268292683,0.9803921568627451,0.1935483870967742,0.8888888888888888,0.6
7,0.69195955991745,0.8605803772807121,0.7425531914893617,0.5731422360851255,0.502127659574468,0.5055352061200505,0.5684210526315789,0.42990654205607476,0.43859649122807015,0.46153846153846156,0.6292134831460674,0.54,0.4107142857142857,0.5434782608695652,0.5555555555555556,0.5,0.6,0.45098039215686275,0.36764705882352944,0.39473684210526316,0.8484848484848485,0.7574468085106383,0.3687275253350768,0.8289473684210527,0.0,0.6459627329192547,0.0,0.875,0.0,0.5714285714285714,0.0,0.7875,0.0,0.7428571428571429,0.0,0.8382978723404255,0.8281899338156072,0.8698630136986302,0.7865168539325843,0.8698630136986302,0.7865168539325843,0.8698630136986302,0.7865168539325843,0.8723404255319149,0.5901162790697674,0.9302325581395349,0.25,0.975609756097561,0.16666666666666666,0.8888888888888888,0.5
8,0.7002673288186391,0.8584523675963283,0.7361702127659575,0.5785029880376014,0.48936170212765956,0.49690506419626346,0.5057471264367817,0.39285714285714285,0.46956521739130436,0.4657534246575342,0.6506024096385542,0.5238095238095238,0.36065573770491804,0.574468085106383,0.4857142857142857,0.54,0.4888888888888889,0.43137254901960786,0.39705882352941174,0.4473684210526316,0.8181818181818182,0.7404255319148936,0.36008410189737133,0.8145695364238411,0.0,0.6257668711656442,0.0,0.8661971830985915,0.0,0.5483870967741935,0.0,0.76875,0.0,0.7285714285714285,0.0,0.8382978723404255,0.8281899338156072,0.8698630136986302,0.7865168539325843,0.8698630136986302,0.7865168539325843,0.8698630136986302,0.7865168539325843,0.8765957446808511,0.6288328522411634,0.9320843091334895,0.32558139534883723,0.9851485148514851,0.21212121212121213,0.8844444444444445,0.7
9,0.6818471948305765,0.8445501187816262,0.7436170212765958,0.5859769372532853,0.5063829787234042,0.5098529583775172,0.5918367346938775,0.4077669902912621,0.4444444444444444,0.46153846153846156,0.6436781609195402,0.5471698113207547,0.40384615384615385,0.5306122448979592,0.5555555555555556,0.5185185185185185,0.6444444444444445,0.4117647058823529,0.38235294117647056,0.39473684210526316,0.8484848484848485,0.7361702127659574,0.35670242939943275,0.8104575163398693,0.0,0.6163522012578616,0.0,0.8493150684931506,0.0,0.550561797752809,0.0,0.775,0.0,0.7,0.0,0.851063829787234,0.8433959749433559,0.8780487804878049,0.8087431693989071,0.8936170212765957,0.7872340425531915,0.863013698630137,0.8314606741573034,0.8808510638297873,0.6339563862928349,0.9345794392523364,0.3333333333333333,0.9852216748768473,0.21875,0.8888888888888888,0.7
10,0.65972594221433,0.841292577330023,0.7393617021276596,0.5789490158027077,0.5063829787234042,0.5131658404166607,0.5979381443298969,0.42718446601941745,0.42735042735042733,0.4383561643835616,0.675,0.5576923076923077,0.4230769230769231,0.5102040816326531,0.45714285714285713,0.574468085106383,0.6444444444444445,0.43137254901960786,0.36764705882352944,0.42105263157894735,0.8181818181818182,0.7319148936170212,0.3556411196675223,0.8052805280528053,0.0,0.6172839506172839,0.0,0.8531468531468531,0.0,0.5434782608695652,0.0,0.7625,0.0,0.7142857142857143,0.0,0.8425531914893617,0.8344471735115477,0.8710801393728222,0.7978142076502732,0.8865248226950354,0.776595744680851,0.8561643835616438,0.8202247191011236,0.8765957446808511,0.6125419296151003,0.9324009324009324,0.2926829268292683,0.9803921568627451,0.1935483870967742,0.8888888888888888,0.6
