epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_spinal_canal,macro_auprc_spinal_canal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-05-04T07:42:39,1.4728883612723578,0.17482147241632143,1,0.850669412976313,0.5157459989674755,0.5229736706246774,0.13817821085137363,0.3904382470119522,0.6049382716049383,0.024096385542168676,0.0125,0.0,0.0,0.851278265946617,0.5100002408127042,0.7963509511890244,0.47920794209135337,0.7965945942295191,0.4756670900788546,0.4882917576609707,0.22259400189765557,65.63782596588135,7.795179128646851,249.12833534039748
2,2026-05-04T07:43:44,1.3871310322057633,0.16845440337322448,1,0.8403707518022657,0.5952503871966959,0.591636551368095,0.14498590744798398,0.3553008595988539,0.7654320987654321,0.058823529411764705,0.0375,0.020833333333333332,0.012048192771084338,0.8574848542464163,0.5095118210233223,0.7970108982414117,0.47858304029591453,0.80146014793826,0.4768005653023724,0.4882984755405364,0.22944428120093377,64.4693820476532,7.631124496459961,254.48411972585217
3,2026-05-04T07:44:48,1.3219179384410382,0.16486372511650696,1,0.8341915550978373,0.6169334021683015,0.624677336086732,0.22898003544553439,0.3957597173144876,0.691358024691358,0.17266187050359713,0.15,0.11851851851851852,0.0963855421686747,0.8546802337659866,0.5050717187506192,0.7887670189722252,0.47003552535633,0.7913462305429718,0.4707222280464977,0.4819431573844823,0.21751344876895481,64.34037399291992,7.720509767532349,251.53779458538366
4,2026-05-04T07:45:52,1.2559662689765294,0.15956862088638904,0,0.8769309989701339,0.6468766133195664,0.6293236964377904,0.20061765962284642,0.4253393665158371,0.5802469135802469,0.1391304347826087,0.1,0.037383177570093455,0.024096385542168676,0.8656772347160467,0.5191654207150264,0.8002973641784735,0.47912161311268786,0.8024974682928038,0.48043325155131367,0.49290676179300935,0.21231865404479755,64.14554595947266,7.7041015625,252.07352009126632
5,2026-05-04T07:46:59,1.2554977891168424,0.15668201180877253,0,0.870236869207003,0.6504904491481672,0.6618482188951987,0.216911844829465,0.4,0.6419753086419753,0.13043478260869565,0.1125,0.12030075187969924,0.0963855421686747,0.8568554100408302,0.5038765621586925,0.7927230707486692,0.47237686806891394,0.798553747718361,0.477375113965574,0.48454284806439346,0.2179841740095738,66.2610776424408,8.1527738571167,238.2011366971493
6,2026-05-04T07:48:04,1.1835091450739474,0.16110366973720613,0,0.8486096807415036,0.6220960247805886,0.6308724832214765,0.18533926839011586,0.38181818181818183,0.7777777777777778,0.11864406779661017,0.0875,0.05555555555555555,0.03614457831325301,0.85172671600191,0.505919919073459,0.7981765467904296,0.4812917154760497,0.8022844496266951,0.4780608178437103,0.48842415079773965,0.23518823133986866,65.79730606079102,7.914328336715698,245.37773988865044
7,2026-05-04T07:49:09,1.1348399838521368,0.15656160328109733,0,0.8820803295571575,0.6277749096541043,0.6484254001032524,0.14135202722092402,0.3815028901734104,0.4074074074074074,0.0425531914893617,0.025,0.0,0.0,0.8660202231053914,0.5187585907414066,0.8019824694620153,0.48134076901184825,0.8092727685966299,0.4849679425971856,0.49502243411681346,0.2199973337453227,64.94554400444031,7.663835763931274,253.3979145455778
8,2026-05-04T07:50:13,1.1236415744182608,0.15876663222786835,0,0.8563336766220392,0.6308724832214765,0.6437790397521941,0.21778826549420918,0.4015151515151515,0.654320987654321,0.14965986394557823,0.1375,0.10218978102189781,0.08433734939759036,0.8517333138510385,0.49778926530124684,0.7930095923659074,0.47305482072319777,0.7966566590900189,0.4738962192080352,0.48158010174415994,0.2221905724617649,64.03921699523926,7.65685248374939,253.62902107904344
9,2026-05-04T07:51:18,1.038448780136449,0.15703515671804302,0,0.8480947476828012,0.6365513680949922,0.6618482188951987,0.2226977726520091,0.3957597173144876,0.691358024691358,0.1793103448275862,0.1625,0.09302325581395349,0.07228915662650602,0.8552821436945011,0.505943788048731,0.7961273390346344,0.4761463190728135,0.80383727756212,0.47996040119803435,0.4873501694398596,0.23461331255433637,64.453533411026,7.719482898712158,251.57125489894977
10,2026-05-04T07:52:22,1.0640999867802574,0.1576134207063034,0,0.8697219361483007,0.6066081569437274,0.6303562209602478,0.1707837367247401,0.38235294117647056,0.48148148148148145,0.07339449541284404,0.05,0.05660377358490566,0.03614457831325301,0.8611765733061896,0.5089710189664538,0.7962099827124126,0.4773286953572227,0.8049011490413108,0.4821893494177263,0.4894963545804676,0.23123304475648307,63.59185075759888,7.701195001602173,252.16865688974013
