epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_spinal_canal,macro_auprc_spinal_canal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_val_weighted_logloss,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-05-03T14:28:31,0.5899921416259203,0.5241407184831558,1,0.8867147270854789,0.774909654104285,0.766133195663397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7507432063941207,0.42510518169463013,0.7203802763974555,0.452197806026102,0.6907013641334131,0.43829264355474556,0.4385318770918259,0.11008186818283766,0.5254399224453912,54.945157289505005,10.871337413787842,178.634875000477
2,2026-05-03T14:29:26,0.508597516866981,0.49800733789320917,1,0.8877445932028837,0.7774909654104285,0.771295818275684,0.023255813953488372,0.06976744186046512,0.037037037037037035,0.0,0.0,0.0,0.0,0.8285796005674196,0.5244053865851944,0.7550618653529956,0.4776005437163106,0.7333200692786129,0.45263533354339763,0.4848804212816342,0.2064688447361045,0.49938643864865845,54.57252740859985,10.977865219116211,176.90142493445038
3,2026-05-03T14:30:21,0.4855849999384802,0.48731904933529513,1,0.8898043254376931,0.7785234899328859,0.771295818275684,0.06802721088435375,0.20408163265306123,0.12345679012345678,0.0,0.0,0.0,0.0,0.8468948327046927,0.5429385434673198,0.7649961086210818,0.48499436970304494,0.7576736819026156,0.46308604453484814,0.49700631923507094,0.22750030002887303,0.4883795822879072,54.453553676605225,10.859183549880981,178.83480752300983
4,2026-05-03T14:31:16,0.4764915233264204,0.4804668282308886,1,0.8949536560247168,0.7816210635002582,0.7676819824470831,0.11320754716981131,0.33962264150943394,0.2222222222222222,0.0,0.0,0.0,0.0,0.8584615598147339,0.5574703295363296,0.7717536551739973,0.48776381293594023,0.7682462613270883,0.47063492749020663,0.5052896899874921,0.24065528916890966,0.481631783171322,54.46620583534241,10.851323366165161,178.96434697128552
5,2026-05-03T14:32:11,0.4686207116627302,0.4756204168642721,1,0.8959835221421215,0.7826535880227156,0.7707795560144554,0.13095238095238096,0.39285714285714285,0.2716049382716049,0.0,0.0,0.0,0.0,0.8613788840485644,0.5656230375274185,0.7759329611149379,0.4891813376376551,0.7734114917229533,0.4746049034723983,0.5098030928791573,0.24978512720422952,0.47667969078191125,54.42692995071411,10.852899551391602,178.9383556720553
6,2026-05-03T14:33:06,0.46474178746098377,0.4715390253451563,1,0.8964984552008239,0.7821373257614869,0.7692307692307693,0.13105413105413105,0.39316239316239315,0.2839506172839506,0.0,0.0,0.0,0.0,0.8701283579278232,0.5753626735967844,0.7783317082151043,0.4892920860762791,0.7803847813015558,0.47765824191064093,0.5141043338612349,0.2593735446508762,0.47226388615632,54.432961225509644,10.886088132858276,178.39282360192541
7,2026-05-03T14:34:00,0.46188636295130997,0.4688972475067262,1,0.8964984552008239,0.780072276716572,0.7687145069695406,0.13559322033898305,0.4067796610169492,0.2962962962962963,0.0,0.0,0.0,0.0,0.8718594725203787,0.5758741536580845,0.7809340185936205,0.4896291336985006,0.7850666336294078,0.48064067493160895,0.5153813207627314,0.2617518740738431,0.46950705335173715,54.45749878883362,10.86778736114502,178.69322756011235
8,2026-05-03T14:34:55,0.4578080194406822,0.46756720542907715,1,0.8954685890834192,0.7826535880227156,0.7687145069695406,0.13550135501355012,0.4065040650406504,0.30864197530864196,0.0,0.0,0.0,0.0,0.8750213019038017,0.5777459449158684,0.7823235240676633,0.49163873550972864,0.7861693463086227,0.48062836655217495,0.5166710156592573,0.26188089396572173,0.46820532074660975,54.46338415145874,10.860832691192627,178.80765271108777
9,2026-05-03T14:35:50,0.4553793099571447,0.46980267282455196,0,0.8964984552008239,0.7795560144553433,0.7687145069695406,0.13218390804597702,0.39655172413793105,0.2839506172839506,0.0,0.0,0.0,0.0,0.8795440556481822,0.5865519293177425,0.7828984126207018,0.48867428000280905,0.7880444212933219,0.4807452087395852,0.5186571393533789,0.26965651976862626,0.4702517010765907,54.44807195663452,10.843152523040771,179.09920531629672
10,2026-05-03T14:36:45,0.452945564125405,0.46433192395394846,1,0.8959835221421215,0.7826535880227156,0.7692307692307693,0.14917944578961528,0.423728813559322,0.30864197530864196,0.023809523809523808,0.0125,0.0,0.0,0.879662370338761,0.5853648747235979,0.784520133668536,0.48706501566962407,0.7929401366849813,0.4848810014925393,0.5191036306285871,0.2711647062759947,0.46501892130034683,54.48611783981323,10.894431829452515,178.25619824889873
11,2026-05-03T14:37:40,0.4527818184407031,0.46421442781725236,1,0.8954685890834192,0.7821373257614869,0.7687145069695406,0.14124293785310735,0.423728813559322,0.30864197530864196,0.0,0.0,0.0,0.0,0.882126782140281,0.5883017900664819,0.7857714933474682,0.49123856600577526,0.794271958247372,0.48775288363924285,0.5224310799038333,0.27622167863900665,0.46501909119831125,54.43080186843872,10.846436500549316,179.04497941804644
12,2026-05-03T14:38:34,0.4506963591595165,0.4631027579307556,1,0.8954685890834192,0.7785234899328859,0.769747031491998,0.14470284237726097,0.43410852713178294,0.345679012345679,0.0,0.0,0.0,0.0,0.8834495150821756,0.5850832158852173,0.7864289071381889,0.4881924129037462,0.7958412060698735,0.4874512248037722,0.5202422845309119,0.27049937735223056,0.4636616292474045,54.51244044303894,10.915401697158813,177.9137455386077
13,2026-05-03T14:39:29,0.44797737285739087,0.46186932921409607,1,0.8959835221421215,0.7811048012390295,0.766133195663397,0.14987080103359174,0.4496124031007752,0.35802469135802467,0.0,0.0,0.0,0.0,0.8827512738964991,0.5847607761145764,0.7873462128728694,0.4895579206335426,0.7967932768444358,0.4894626547489813,0.5212604504990335,0.27288327352990444,0.4625021795461632,54.44024157524109,10.87493348121643,178.5758049329029
14,2026-05-03T14:40:24,0.4470686678026543,0.46451236067279694,0,0.8959835221421215,0.7795560144553433,0.7666494579246257,0.15419501133786848,0.46258503401360546,0.41975308641975306,0.0,0.0,0.0,0.0,0.8839246237399062,0.5823685329173297,0.7865208107597019,0.48734230646536775,0.7950294351678421,0.4857627249614518,0.5184911881147164,0.2687803404458888,0.46468926623871504,54.52904486656189,10.927812814712524,177.71168237667948
15,2026-05-03T14:41:18,0.4449451040537631,0.4638532736609059,0,0.8954685890834192,0.774909654104285,0.7671657201858544,0.1717083996719255,0.45390070921985815,0.3950617283950617,0.061224489795918366,0.0375,0.0,0.0,0.8854314065672774,0.5831524205328583,0.7873755702892691,0.4841731987831914,0.7993577677106497,0.49208612167230675,0.5198039136627856,0.27014445404760673,0.4646534751763314,54.49754476547241,10.897383451461792,178.207916482878
