epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,extra_val_weighted_logloss
1,2026-04-26T02:37:01,0.6165219971897619,0.18376257651114977,1,0.8625128733264675,0.6189984512132163,0.5859576664945793,0.14117647058823532,0.4,0.6666666666666666,0.0,0.0,0.023529411764705882,0.012048192771084338,0.0
2,2026-04-26T02:41:03,0.021283988034565177,0.17687455448572353,1,0.8414006179196705,0.5942178626742385,0.6122870418172431,0.1840530958538308,0.3924050632911392,0.7654320987654321,0.09523809523809523,0.075,0.06451612903225806,0.03614457831325301,0.0
3,2026-04-26T02:45:04,-0.4206868399109616,0.18031000850662107,0,0.84346035015448,0.5234899328859061,0.5343314403717089,0.27008601197226173,0.41009463722397477,0.8024691358024691,0.2196078431372549,0.35,0.18055555555555555,0.1566265060240964,0.0
4,2026-04-26T02:49:05,-0.7299384043720745,0.1752865289247805,1,0.8486096807415036,0.5472379969024265,0.5673722250903459,0.25884894195272945,0.4236760124610592,0.8395061728395061,0.18181818181818182,0.225,0.17105263157894737,0.1566265060240964,0.0
5,2026-04-26T02:53:07,-0.9383607898782563,0.169331697326514,1,0.8650875386199794,0.6060918946824987,0.5973154362416108,0.26525945828009306,0.5402843601895735,0.7037037037037037,0.18652849740932642,0.225,0.06896551724137931,0.04819277108433735,0.0
6,2026-04-26T02:57:08,-1.0551630518580444,0.17631495776035452,0,0.8769309989701339,0.48890036138358284,0.5224574083634487,0.21485615401254596,0.47761194029850745,0.7901234567901234,0.08695652173913043,0.0625,0.08,0.04819277108433735,0.0
7,2026-04-26T03:01:09,-1.1282775020039322,0.16966650026139393,0,0.8383110195674562,0.5937016004130098,0.5420753742901394,0.2896345514950166,0.5,0.6172839506172839,0.18604651162790697,0.2,0.18285714285714286,0.1927710843373494,0.0
8,2026-04-26T03:05:11,-1.1731320257554918,0.1674440578026797,1,0.8583934088568486,0.6045431078988126,0.5962829117191534,0.2849024747967236,0.5572139303482587,0.691358024691358,0.16326530612244897,0.15,0.1342281879194631,0.12048192771084337,0.0
9,2026-04-26T03:09:12,-1.2404176644830895,0.1667452259089357,1,0.8527291452111225,0.5606608156943728,0.5978316985028395,0.27327803925697447,0.5271966527196653,0.7777777777777778,0.1891891891891892,0.2625,0.10344827586206896,0.07228915662650602,0.0
10,2026-04-26T03:13:14,-1.2941117646710185,0.16627417885327853,1,0.8419155509783728,0.5529168817759422,0.6417139907072793,0.2988705569418244,0.5138339920948617,0.8024691358024691,0.15492957746478872,0.1375,0.22784810126582278,0.21686746987951808,0.0
11,2026-04-26T03:17:15,-1.3063812583884937,0.17644039653642205,0,0.8558187435633368,0.44192049561177077,0.5250387196695921,0.28961197617443907,0.5166666666666667,0.7654320987654321,0.19574468085106383,0.2875,0.1564245810055866,0.1686746987951807,0.0
12,2026-04-26T03:21:17,-1.337990619392203,0.16590331578927656,1,0.8578784757981462,0.5436241610738255,0.6086732059886423,0.28696621038273973,0.5403225806451613,0.8271604938271605,0.13138686131386862,0.1125,0.1891891891891892,0.1686746987951807,0.0
13,2026-04-26T03:25:18,-1.3599200258719042,0.16785965563469032,0,0.835221421215242,0.5245224574083635,0.6076406814661848,0.28401644358088657,0.4921875,0.7777777777777778,0.17333333333333334,0.1625,0.18652849740932642,0.21686746987951808,0.0
14,2026-04-26T03:29:20,-1.3783332739500391,0.1691430087691994,0,0.8429454170957775,0.5606608156943728,0.5647909137842023,0.29104993929196055,0.5074626865671642,0.8395061728395061,0.18090452261306533,0.225,0.18478260869565216,0.20481927710843373,0.0
15,2026-04-26T03:33:21,-1.4195402498613268,0.1719517009232634,0,0.8120494335736355,0.5136809499225606,0.5957666494579247,0.2758241445511999,0.5207547169811321,0.8518518518518519,0.14201183431952663,0.15,0.16470588235294117,0.1686746987951807,0.0
16,2026-04-26T03:37:22,-1.4442494523605245,0.18122319712914448,0,0.8269824922760041,0.4068146618482189,0.5400103252452245,0.33552880572388094,0.5470085470085471,0.7901234567901234,0.2358490566037736,0.3125,0.22372881355932203,0.39759036144578314,0.0
17,2026-04-26T03:41:23,-1.4653398560597592,0.1670545241645267,0,0.86302780638517,0.546205472379969,0.5591120289106867,0.31552100045250725,0.5675675675675675,0.7777777777777778,0.1506849315068493,0.1375,0.228310502283105,0.30120481927710846,0.0
18,2026-04-26T03:45:25,-1.4485619876208722,0.16149860119787596,1,0.8558187435633368,0.5911202891068663,0.6128033040784718,0.29277541347235897,0.547945205479452,0.7407407407407407,0.17751479289940827,0.1875,0.15286624203821655,0.14457831325301204,0.0
19,2026-04-26T03:49:26,-1.5010110293858803,0.16475529920670295,0,0.8712667353244078,0.5389778007227671,0.5704697986577181,0.3235626335428054,0.5462184873949579,0.8024691358024691,0.2222222222222222,0.2875,0.20224719101123595,0.21686746987951808,0.0
