epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_spinal_canal,macro_auprc_spinal_canal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-08-22T11:47:03,1.419984557373183,0.15542727317966398,1,0.8815653964984552,0.6200309757356737,0.6128033040784718,0.2577583093610291,0.5352112676056338,0.7037037037037037,0.10344827586206896,0.075,0.1346153846153846,0.08433734939759036,0.9203017943254431,0.6172485045301609,0.7853150410405251,0.46510867542816087,0.7894869962792708,0.4705177052793405,0.5176249617458875,0.2914118263175113,143.67529773712158,18.07340359687805,107.45070731090493
2,2026-08-22T11:49:27,1.328910855168388,0.1531219160886573,1,0.8769309989701339,0.6040268456375839,0.5998967475477542,0.26203375355700037,0.5152838427947598,0.7283950617283951,0.13636363636363635,0.1125,0.13445378151260504,0.0963855421686747,0.921625224966026,0.6114400667010722,0.7898740184018349,0.47035716722565213,0.79187966410008,0.47088295989997325,0.5175600646088993,0.288959353239085,143.30825877189636,18.056796073913574,107.54953381821612
3,2026-08-22T11:51:50,1.2502415022324949,0.14978688241801952,1,0.8759011328527292,0.6210635002581312,0.6365513680949922,0.287882359186707,0.46886446886446886,0.7901234567901234,0.21,0.2625,0.18478260869565216,0.20481927710843373,0.9150921766395538,0.6107452263352068,0.7870963275640773,0.47071791544396263,0.7865332658626851,0.4682956424430161,0.5165862614073952,0.30402776798994285,143.09843182563782,18.101430654525757,107.28433774456701
4,2026-08-22T11:54:13,1.2074005053156898,0.1514325523596318,0,0.8599382080329557,0.6004130098089829,0.6479091378420238,0.2813689817012076,0.4489795918367347,0.8148148148148148,0.20465116279069767,0.275,0.19047619047619047,0.21686746987951808,0.9152921651833091,0.5934969449864922,0.7843630868994049,0.4676879559398596,0.7895590025584971,0.46757151016899345,0.5095854703651151,0.2890604387137186,142.98701786994934,18.155437707901,106.96519859473659
5,2026-08-22T11:56:36,1.1360982029743139,0.1501606635932551,1,0.8635427394438723,0.6086732059886423,0.628291171915333,0.2953937584867545,0.4714828897338403,0.7654320987654321,0.20909090909090908,0.2875,0.205607476635514,0.26506024096385544,0.91668053617426,0.5952247136670131,0.7868205509677435,0.471064137549837,0.7891532704732594,0.4683997590335123,0.5115628700834541,0.2889039381718217,143.56356382369995,18.116250038146973,107.19657743245844
6,2026-08-22T11:59:00,1.0843468136375858,0.1483448918786694,0,0.8666323377960865,0.6329375322663914,0.6324212700051626,0.24540821578281388,0.5150214592274678,0.7407407407407407,0.11267605633802817,0.1,0.10852713178294573,0.08433734939759036,0.917452159562544,0.6006738020126664,0.7919727529952985,0.47702606905061334,0.794259053647577,0.47242410247177746,0.5167079911783524,0.29632491695523827,143.56690382957458,18.07496404647827,107.44143086571614
7,2026-08-22T12:01:23,1.050321339035318,0.15128436498343945,0,0.8789907312049433,0.5921528136293237,0.5973154362416108,0.25337487019730015,0.5757575757575758,0.7037037037037037,0.09090909090909091,0.0625,0.09345794392523364,0.060240963855421686,0.9212074423350559,0.6031331634103935,0.791749273692568,0.47550077959871434,0.7966999931334922,0.47370798626174865,0.5174473097569522,0.2898843916016916,143.5035891532898,18.091843605041504,107.34118879177349
8,2026-08-22T12:03:47,1.0002205905814965,0.147048082518203,0,0.8820803295571575,0.6664945792462571,0.6695921528136293,0.23481258557083715,0.576271186440678,0.6296296296296297,0.04395604395604396,0.025,0.08421052631578947,0.04819277108433735,0.9234146767775427,0.6075780196031552,0.800900466202561,0.4877519656865475,0.8041937802475947,0.4814463834880962,0.5255921229259329,0.29338376023454366,143.76096892356873,17.981295585632324,108.00111653532491
9,2026-08-22T12:06:10,0.9539925651890891,0.14427178528139503,0,0.8913491246138002,0.6690758905524006,0.682498709344347,0.2587609946274902,0.5422222222222223,0.7530864197530864,0.14634146341463414,0.1125,0.08771929824561403,0.060240963855421686,0.9201496036983347,0.6048580906552031,0.7971224103663106,0.48444784408938696,0.7985656577047107,0.47551077773810185,0.521605570827564,0.2986694741348005,142.6237895488739,18.029873609542847,107.7101283157159
10,2026-08-22T12:08:33,0.936053569011745,0.1484370430615919,0,0.8583934088568486,0.6298399586990191,0.6169334021683015,0.24076295922090316,0.5225225225225225,0.7160493827160493,0.125,0.0875,0.07476635514018691,0.04819277108433735,0.9189351452926385,0.5997602665556848,0.7975308409432161,0.48403112872380905,0.8008551764424098,0.475165669255777,0.5196523548450903,0.2959266879797375,143.59154438972473,18.066676139831543,107.49071854553694
