n_samples,f1_macro,balanced_acc,class_0_precision,class_0_recall,class_0_f1,class_0_support,class_1_precision,class_1_recall,class_1_f1,class_1_support,class_2_precision,class_2_recall,class_2_f1,class_2_support,class_3_precision,class_3_recall,class_3_f1,class_3_support,disease,tier,prompt_template,slice_strategy,auc,class_4_precision,class_4_recall,class_4_f1,class_4_support,class_5_precision,class_5_recall,class_5_f1,class_5_support
1439,0.01819858808615946,0.21123549497529287,0.2247191011235955,0.021505376344086023,0.03925417075564279,930.0,0.012195121951219513,0.25,0.023255813953488372,4,0.5,0.002008032128514056,0.004,498.0,0.00315955766192733,0.5714285714285714,0.006284367635506678,7.0,Modic,hard,med,static,,,,,,,,,
1439,0.4670895494497654,0.5362236716781404,0.6168639053254438,0.9686411149825784,0.7537279710799819,861.0,0.6896551724137931,0.10380622837370242,0.18045112781954886,578,,,,,,,,,UP_endplate,hard,med,static,0.7401589043077776,,,,,,,,
1439,0.46788722998878585,0.5387745930290622,0.6106587712805329,0.9705882352941176,0.7496592457973649,850.0,0.7159090909090909,0.10696095076400679,0.1861152141802068,589,,,,,,,,,LOW_endplate,hard,med,static,0.738487965644662,,,,,,,,
1439,0.02835921674544227,0.5,0.0,0.0,0.0,1397.0,0.029186935371785964,1.0,0.05671843349088454,42,,,,,,,,,Spondylolisthesis,medium,med,static,0.8066605310699799,,,,,,,,
1439,0.5625939481760001,0.6395323696565357,0.9659367396593674,0.8706140350877193,0.9158016147635525,1368.0,0.1407766990291262,0.4084507042253521,0.20938628158844766,71,,,,,,,,,Disc_herniation,medium,med,static,0.7720224857919447,,,,,,,,
1439,0.585506745433216,0.5990381323736922,0.6888888888888889,0.9475982532751092,0.7977941176470589,916.0,0.7318435754189944,0.25047801147227533,0.3732193732193732,523,,,,,,,,,Disc_narrowing,easy,med,static,0.8336749688979433,,,,,,,,
1439,0.6128471957142669,0.6450925282027508,0.591710758377425,0.933240611961057,0.7242309767943875,719.0,0.8426229508196721,0.35694444444444445,0.5014634146341463,720,,,,,,,,,Disc_bulging,medium,med,static,0.8288035079585844,,,,,,,,
1439,0.15486402909313754,0.2711113948338719,,,,,0.21513513513513513,0.9128440366972477,0.34820647419072615,218,0.0,0.0,0.0,340.0,0.34959349593495936,0.41849148418491483,0.38095238095238093,411.0,Pfirrman_grade,hard,med,static,,0.3333333333333333,0.02422145328719723,0.04516129032258064,289.0,0.0,0.0,0.0,181.0
