epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-08-22T07:59:04,1.1171568632125854,1.168387730916341,1,nan,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.4472222222222222,0.14444444444444443,0.29523809523809524,0.37123015873015874,0.32976190476190476,7.157003164291382,2.3777079582214355,5.046877165258006
1,2026-08-22T08:09:32,0.8662807064293364,0.699516361759555,1,nan,0.6329113924050633,0.6615776081424937,0.025974025974025976,0.0,0.0,0.05194805194805195,0.027777777777777776,0.8146847279633236,0.49004252899525585,0.8027082386403546,0.4784912867245668,0.48426690785991133,0.16965902042439993,203.38880228996277,21.797428131103516,180.7552696722911
2,2026-08-22T08:12:55,0.8194848603699318,0.6036244878365148,1,nan,0.7037974683544304,0.7221374045801526,0.20505964623611683,0.23529411764705882,0.7,0.17482517482517482,0.3472222222222222,0.8171970746323268,0.5104370394639816,0.8161621317124151,0.49186080526665327,0.5011489223653174,0.17488525271750027,202.97275519371033,21.87205481529236,180.1385390295043
3,2026-08-22T08:16:19,0.8006128466878895,0.8026809086722713,1,nan,0.649113924050633,0.5888040712468193,0.22473404255319146,0.2712765957446808,0.6375,0.17819148936170212,0.9305555555555556,0.8264438637878359,0.5097163678908742,0.7984373921304005,0.480412040642209,0.4950642042665416,0.20496629497795388,203.20697283744812,21.912649393081665,179.80482091973553
4,2026-08-22T08:19:42,0.7960983998393432,0.5709961965199439,1,nan,0.7336708860759493,0.7246819338422392,0.26118620837924267,0.28346456692913385,0.45,0.23890784982935154,0.4861111111111111,0.8299952256046117,0.5081595538775477,0.8231881369635797,0.5037673009318814,0.5059634274047146,0.19339811186048994,203.25070476531982,21.93105149269104,179.65394870889267
5,2026-08-22T08:23:06,0.7853505570917536,0.5953345635244923,1,nan,0.7260759493670886,0.7241730279898219,0.26622371795565464,0.28152492668621704,0.6,0.25092250922509224,0.4722222222222222,0.8362166443776871,0.5136446742440143,0.8207093809439384,0.5042668013681907,0.5089557378061025,0.20370289460346974,203.31624722480774,21.894435167312622,179.95440256354445
6,2026-08-22T08:26:30,0.7734143785966096,0.6075739036163976,1,nan,0.7139240506329114,0.7073791348600509,0.27222118012755236,0.2925531914893617,0.6875,0.2518891687657431,0.6944444444444444,0.835298645883621,0.5119392087475102,0.8210085282042171,0.51092654695288,0.5114328778501951,0.21513913553549086,203.23378348350525,21.78670835494995,180.84420720236199
7,2026-08-22T08:29:54,0.7660687886798115,0.5699476758318562,0,nan,0.7524050632911392,0.7272264631043257,0.1794496487119438,0.17857142857142858,0.125,0.18032786885245902,0.1527777777777778,0.8441507906648983,0.5341056829023227,0.8371328205219055,0.5206284719545617,0.5273670774284422,0.22662333795850687,203.33843278884888,21.980747938156128,179.24776768676736
8,2026-08-22T08:33:17,0.7804949209245174,0.6070780280616975,0,nan,0.7184810126582278,0.7129770992366412,0.25943958841436277,0.27055702917771884,0.6375,0.2483221476510067,0.5138888888888888,0.8390265403885463,0.5329820064445762,0.829840944860914,0.5207394339240188,0.5268607201842974,0.24059149829593263,203.27606773376465,22.00566792488098,179.04478125588682
9,2026-08-22T08:36:40,0.7579703309835817,0.5445415640790616,0,nan,0.7544303797468355,0.7699745547073792,0.1642840761409678,0.1732283464566929,0.1375,0.1553398058252427,0.1111111111111111,0.8427360032499385,0.5297663506043263,0.8381772084663629,0.528711139469061,0.5292387450366937,0.22818552231708805,203.20374250411987,21.786665678024292,180.84456144999677
10,2026-08-22T08:40:04,0.7539954057329809,0.6065573328204693,1,nan,0.7245569620253165,0.7129770992366412,0.27527396203117765,0.2873900293255132,0.6125,0.2631578947368421,0.625,0.839668438291237,0.5275286674700749,0.83045791243988,0.5097493468417255,0.5186390071559002,0.21643721684910766,203.51763558387756,21.965452671051025,179.37258380259345
11,2026-08-22T08:43:28,0.7491493093919077,0.6202021361358704,1,nan,0.6931645569620253,0.7231552162849872,0.2951145240301867,0.29304029304029305,0.5,0.2971887550200803,0.5138888888888888,0.8359549555145435,0.5171513266385707,0.8364999308375741,0.5193540368993,0.5182526817689354,0.2175456250824982,203.1985523700714,21.821303606033325,180.55749881554453
12,2026-08-22T08:46:52,0.7425981624010368,0.5689433053616555,0,nan,0.7230379746835442,0.7353689567430025,0.29420057496682883,0.2848297213622291,0.575,0.30357142857142855,0.4722222222222222,0.8342855585083329,0.5230074704572648,0.8381525248920999,0.5197877196492549,0.5213975950532599,0.22584352293518478,203.59271502494812,21.83696675300598,180.42798913258576
13,2026-08-22T08:50:16,0.7459745114521854,0.6035399201416201,1,nan,0.719493670886076,0.7348600508905853,0.30097697922515443,0.30656934306569344,0.525,0.2953846153846154,0.6666666666666666,0.8461909553753051,0.5416326193633975,0.8409949029834637,0.5218239383428185,0.5317282788531079,0.23311482599602124,203.60566306114197,21.822619676589966,180.54660982002093
14,2026-08-22T08:53:39,0.7335899504275641,0.6124058406679861,0,nan,0.7281012658227848,0.7170483460559797,0.297846460292581,0.3072916666666667,0.7375,0.2884012539184953,0.6388888888888888,0.8453120627863143,0.537251389626509,0.839812728222149,0.5313391907063497,0.5342952901664293,0.25674124833903955,203.55157089233398,21.919586896896362,179.74791306664054
15,2026-08-22T08:57:03,0.7342727187922712,0.6118671596050262,1,nan,0.7184810126582278,0.72264631043257,0.30194459917962224,0.2977667493796526,0.75,0.30612244897959184,0.625,0.8397954417313942,0.5278313975786578,0.8388315538974703,0.5205372175183693,0.5241843075485135,0.23191187383369066,203.50102615356445,21.838600397109985,180.41449215405765
16,2026-08-22T09:00:27,0.7170631034379074,0.5690786216047502,0,nan,0.7458227848101265,0.7246819338422392,0.2764605014191107,0.29464285714285715,0.4125,0.2582781456953642,0.5416666666666666,0.8429115568055031,0.5373698694599794,0.8380247886755043,0.5190234646170866,0.528196667038533,0.23660010006859133,203.43200826644897,21.89429497718811,179.95555481942333
