epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_spinal_canal,macro_auprc_spinal_canal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-06-03T04:28:05,1.4864392645302273,0.1651073771639056,1,0.881511746680286,0.6583248212461695,0.6938044034818228,0.26664075883155663,0.422360248447205,0.40476190476190477,0.2222222222222222,0.16923076923076924,0.1553398058252427,0.1038961038961039,0.869764452626906,0.5261625785394067,0.7913208532619486,0.4867451282053878,0.800886976587253,0.4940895751061589,0.5023324272836511,0.25786521221949527,142.55957627296448,18.183730363845825,107.67867543246427
2,2026-06-03T04:30:27,1.400143941598279,0.1618287115488001,0,0.8687436159346271,0.6144024514811032,0.6651305683563749,0.12080536912751677,0.3624161073825503,0.32142857142857145,0.0,0.0,0.0,0.0,0.8826477561934988,0.5444700752194639,0.7987095543482013,0.4929207243504574,0.8118458809104151,0.5046216266662419,0.514004142078721,0.26000107444362824,141.94387435913086,18.054895877838135,108.44703914373656
3,2026-06-03T04:32:49,1.3602830238640309,0.1585084032768043,0,0.8799795709908069,0.6440245148110316,0.685099846390169,0.1368653421633554,0.4105960264900662,0.36904761904761907,0.0,0.0,0.0,0.0,0.8847101744914179,0.5536001686976885,0.8005428486631452,0.49539371545972904,0.8093215861685744,0.4959811967779557,0.5149916936451244,0.27191273321019277,142.20404648780823,18.04276156425476,108.5199731220232
4,2026-06-03T04:35:11,1.283201038801954,0.15819314435645135,1,0.8651685393258427,0.6353421859039836,0.6758832565284179,0.2878823394732969,0.43795620437956206,0.7142857142857143,0.27184466019417475,0.2153846153846154,0.15384615384615385,0.1038961038961039,0.8828526660252211,0.5474911102896441,0.790566823812159,0.48638531283856085,0.7978910866972155,0.4841462599716879,0.5060075610332976,0.26861895500771876,142.0600335597992,18.09708023071289,108.19424874279122
5,2026-06-03T04:37:34,1.217123593389988,0.1571277031294441,0,0.8370786516853933,0.650153217568948,0.6579621095750128,0.2711341284787612,0.4152542372881356,0.5833333333333334,0.25,0.2,0.14814814814814814,0.1038961038961039,0.8834153528192554,0.5566474485209284,0.7974829623915877,0.49537733974093506,0.8063716568820313,0.49890347184200534,0.5169760867012896,0.28317896870210785,142.12610292434692,18.0380597114563,108.54826025198479
6,2026-06-03T04:39:56,1.2021529080612319,0.16212340596542565,1,0.8370786516853933,0.5858018386108274,0.6400409626216078,0.317479674796748,0.4024390243902439,0.7857142857142857,0.3333333333333333,0.3230769230769231,0.21666666666666667,0.16883116883116883,0.8812755251759762,0.5614623178759528,0.790037920275673,0.48654893737310206,0.7969110056670553,0.48685415170371354,0.5116218023175895,0.29008922923266217,142.0636065006256,18.06963539123535,108.35857822287466
7,2026-06-03T04:42:18,1.1424933222965115,0.1541602368596741,0,0.8804902962206334,0.6215526046986721,0.6630824372759857,0.19667011732229125,0.4673913043478261,0.5119047619047619,0.075,0.046153846153846156,0.047619047619047616,0.025974025974025976,0.8897949928329741,0.5667320986556365,0.8000011471674311,0.4975618323833384,0.8084198820190428,0.4948359174662569,0.519709949501744,0.2811696682708206,142.1236867904663,18.079670190811157,108.29843572009058
8,2026-06-03T04:44:40,1.0951385079040414,0.15459585975935702,1,0.8682328907048008,0.6532175689479061,0.6492575524833589,0.3482257084372801,0.4375,0.6666666666666666,0.31088082901554404,0.46153846153846156,0.2962962962962963,0.36363636363636365,0.8852330602762262,0.5672983150212549,0.788810417144779,0.48944491677963176,0.7906504693049561,0.48423045060542314,0.5136578941354366,0.29880895158957,141.97870755195618,18.04306173324585,108.51816775598685
9,2026-06-03T04:47:02,1.05151587373444,0.1562643012592709,0,0.8682328907048008,0.6108273748723186,0.6651305683563749,0.17450824029771397,0.44019138755980863,0.5476190476190477,0.08333333333333333,0.046153846153846156,0.0,0.0,0.8874293414408919,0.5771389592559406,0.7990356138255418,0.49526239036279174,0.8082522496391514,0.49820758514210844,0.5235363115869469,0.2959084131159311,142.01508212089539,18.09624719619751,108.19922930824168
10,2026-06-03T04:49:24,1.0724905221589973,0.15622668683288557,0,0.8712972420837589,0.5730337078651685,0.6349206349206349,0.22065073145382227,0.45918367346938777,0.5357142857142857,0.0963855421686747,0.06153846153846154,0.10638297872340426,0.06493506493506493,0.8914651571032423,0.5750391101026947,0.7959593755936748,0.49249751184781027,0.8034549101230347,0.4894145063028978,0.5189837094178009,0.28592918675496426,142.14000701904297,18.089272022247314,108.24095063593104
