epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_spinal_canal,macro_auprc_spinal_canal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_val_weighted_logloss,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-06-02T15:17:33,0.7165398237896603,0.25059131100293125,1,0.8769152196118488,0.177732379979571,0.1894521249359959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6278498721611335,0.36883136297819324,0.5594771311035704,0.3680227680032959,0.5655166400989508,0.3639234224186494,0.3669258511333795,0.060663876644255744,0.0,239.67308855056763,11.154473304748535,175.534957725567
2,2026-06-02T15:21:27,0.2350843662402303,0.25335759605451297,0,0.865679264555669,0.177732379979571,0.20532514080901176,0.031487758945386066,0.06779661016949153,0.047619047619047616,0.02666666666666667,0.015384615384615385,0.0,0.0,0.6153573690440525,0.37182231273821054,0.5152182892353547,0.3456734817957519,0.5328975591040622,0.3437602267469185,0.3537520070936269,0.058011939080253656,0.0,233.98148798942566,11.033291339874268,177.4629110829147
3,2026-06-02T15:25:24,-0.08507155275663804,0.24944759616928716,1,0.8769152196118488,0.177732379979571,0.22990271377368152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241100031720609,0.3651791270787721,0.5620271693097574,0.36668402715332404,0.5992815436401385,0.37474411857526074,0.3688690909357856,0.06202881975361987,0.0,234.28016090393066,11.404176950454712,171.6914783510028
4,2026-06-02T15:29:19,-0.275726394908484,0.24114704011909419,1,0.8769152196118488,0.21552604698672115,0.3389656938044035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6122028822196705,0.36535660303449385,0.5805894528191211,0.3677211535575445,0.6074513872667223,0.37744645685342076,0.37017473781515303,0.06556152517099789,0.0,233.98968267440796,11.081412553787231,176.69227551056434
5,2026-06-02T15:33:13,-0.3527865031092462,0.2567315165714551,0,0.8753830439223698,0.18130745658835545,0.22836661546338966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6172442114438343,0.36664939559022347,0.5965252274296885,0.3756674674957316,0.5903296011564905,0.3733600375407545,0.3718923002089032,0.05436109909408515,0.0,234.09174609184265,11.212997674942017,174.6187823061441
6,2026-06-02T15:37:07,-0.40154722123640435,0.23999459833227177,1,0.8345250255362615,0.21859039836567926,0.3789042498719918,0.036303630363036306,0.10891089108910891,0.13095238095238096,0.0,0.0,0.0,0.0,0.6228864045640966,0.36757372025885565,0.5957163477315591,0.3676801471474375,0.6235526450059297,0.3854490313633478,0.37356763292321365,0.06895747365266615,0.0,233.78244972229004,11.041006088256836,177.33891135904
7,2026-06-02T15:41:02,-0.43458246905668124,0.23312220690391397,1,0.8544433094994893,0.329417773237998,0.3932411674347158,0.06136546184738956,0.16,0.14285714285714285,0.0,0.0,0.024096385542168676,0.012987012987012988,0.6439175340059943,0.37782168808774735,0.610471892480832,0.3788264636338918,0.6282302327471366,0.3815525711072167,0.37940024094295194,0.07082717180041674,0.0,233.83050513267517,11.08939242362976,176.56512865644544
8,2026-06-02T15:44:56,-0.4483095670623524,0.22955313853679163,1,0.8661899897854954,0.36006128702757917,0.286226318484383,0.03305785123966942,0.09917355371900827,0.07142857142857142,0.0,0.0,0.0,0.0,0.6731085515182414,0.38542346325506543,0.6158550550753922,0.3799152947490601,0.6185111672217786,0.3779771552230809,0.3811053044090688,0.07819996822303578,0.0,234.13041758537292,11.22193717956543,174.47967928081235
9,2026-06-02T15:48:50,-0.46657525775424613,0.24856386405806385,0,0.6378958120531154,0.2604698672114402,0.27956989247311825,0.044069385841537745,0.13220815752461323,0.5595238095238095,0.0,0.0,0.0,0.0,0.6421290790460974,0.3743853362195136,0.628003809773945,0.3831971095452608,0.6402641106544594,0.39667108902617415,0.3847511782636495,0.08615954736242902,0.0,233.96027874946594,11.142808437347412,175.71871678573964
10,2026-06-02T15:52:45,-0.48037431730474517,0.2227092127325714,1,0.7982635342185904,0.381511746680286,0.5207373271889401,0.05387205387205388,0.16161616161616163,0.2857142857142857,0.0,0.0,0.0,0.0,0.6919266634587583,0.39803141145349463,0.6473468481856979,0.3880423075672991,0.6715448098010537,0.40660219639094924,0.397558638470581,0.09289901919982096,0.0,233.76401090621948,11.044755697250366,177.2787061725097
11,2026-06-02T15:56:39,-0.5024143283981145,0.25605161391919656,0,0.5495403472931563,0.2604698672114402,0.31387608806963646,0.04425711275026343,0.1327713382507903,0.75,0.0,0.0,0.0,0.0,0.6831355309533317,0.39212260160792917,0.651085283110637,0.39110121063087505,0.6568967555356867,0.39809809630019943,0.3937739695130012,0.09061038624713051,0.0,234.05378127098083,11.107040882110596,176.28457667366888
12,2026-06-02T16:00:33,-0.5325370353201161,0.21306662333588444,1,0.7951991828396323,0.5423901940755873,0.5120327700972862,0.12107490986624862,0.21301775147928995,0.42857142857142855,0.10526315789473684,0.09230769230769231,0.0449438202247191,0.025974025974025976,0.7180426574061111,0.4111219950919404,0.6850076537123645,0.4145936514978746,0.6820101697783277,0.4066148591484166,0.4107768352460772,0.1160809727891357,0.0,234.07311081886292,11.066338300704956,176.93296073148875
13,2026-06-02T16:04:28,-0.5434609575813829,0.2122269052491393,1,0.81511746680286,0.44688457609805926,0.4618535586277522,0.07160493827160494,0.21481481481481482,0.34523809523809523,0.0,0.0,0.0,0.0,0.7155919397215253,0.40579260637179626,0.6966390106228909,0.41003987853399915,0.6991444874835371,0.41786352477062266,0.41123200322547265,0.1146371489399407,0.0,234.00198459625244,11.098855018615723,176.41459382214785
14,2026-06-02T16:08:23,-0.5715228376978616,0.20065921312698753,1,0.8513789581205311,0.567926455566905,0.5248335893497184,0.08307775087436105,0.192090395480226,0.20238095238095238,0.05714285714285714,0.03076923076923077,0.0,0.0,0.7244234343751818,0.4054898373554712,0.708643422653323,0.41718286155091805,0.7102110581663782,0.4269505219399507,0.4165410736154467,0.12441917106509608,0.0,234.22938108444214,11.2200767993927,174.50860943358063
15,2026-06-02T16:12:17,-0.5894750647720286,0.20938958852521836,0,0.81511746680286,0.46833503575076607,0.5519713261648745,0.13347276372391978,0.20074349442379183,0.32142857142857145,0.05333333333333334,0.03076923076923077,0.14634146341463414,0.11688311688311688,0.7293685084242343,0.4088586105114078,0.6920164901362723,0.41075616299707196,0.6995830730790442,0.4170918554646548,0.41223554299104487,0.12239912404777936,0.0,234.4554226398468,11.12781572341919,175.95546589428739
16,2026-06-02T16:16:12,-0.6115137228997655,0.2114310079524594,0,0.7819203268641471,0.4780388151174668,0.4659498207885305,0.1102950774897226,0.21465968586387435,0.4880952380952381,0.02531645569620253,0.015384615384615385,0.09090909090909091,0.05194805194805195,0.71782237176448,0.40624027419995246,0.6951312412529999,0.40729182555117327,0.7103141578946146,0.42691955280243205,0.41348388418451926,0.12713214058134423,0.0,234.0954349040985,11.14549732208252,175.67632411706063
