epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_spinal_canal,macro_auprc_spinal_canal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_val_weighted_logloss,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-05-04T03:14:45,0.6129830651135253,0.19520636744076203,1,0.8341915550978373,0.44966442953020136,0.5095508518327311,0.12084592145015105,0.36253776435045315,0.7407407407407407,0.0,0.0,0.0,0.0,0.8648746150448581,0.5494867159360629,0.7244155790776818,0.425654283706877,0.7419535064683048,0.4443457759148208,0.4731622585192536,0.25762424824822155,0.0,241.35777258872986,10.924886703491211,177.75928050397127
2,2026-05-04T03:18:46,-0.022634372115135193,0.19079410497059104,1,0.8084449021627188,0.4486319050077439,0.4858027878162106,0.14870907575932799,0.4025157232704403,0.7901234567901234,0.019801980198019802,0.0125,0.023809523809523808,0.012048192771084338,0.8793576977543635,0.559674408053413,0.6978699134514014,0.4102075795963314,0.7453350770690613,0.46370151759899486,0.47786116841624643,0.2781054828524449,0.0,240.70525288581848,10.949233055114746,177.36402086106187
3,2026-05-04T03:22:47,-0.4668917896963606,0.17033095954246416,1,0.8480947476828012,0.6453278265358803,0.6520392359318534,0.16990315620452603,0.4657534246575342,0.6296296296296297,0.0,0.0,0.04395604395604396,0.024096385542168676,0.8923896300790246,0.5813758074252159,0.7709792458630695,0.4547770059237735,0.7739501137553808,0.47287870701656415,0.5030105067885179,0.2824892167440199,0.0,240.7100100517273,10.893037796020508,178.2790105354688
4,2026-05-04T03:26:48,-0.7836420457035103,0.19272689385119304,0,0.8249227600411947,0.5379452762003097,0.47960764068146616,0.21901499152438395,0.37566137566137564,0.8765432098765432,0.06451612903225806,0.0375,0.21686746987951808,0.21686746987951808,0.901286541118349,0.5776399017897647,0.7571028419911375,0.4453993070445839,0.7497026978077725,0.4556287948630599,0.4928893345658028,0.2984534285880316,0.0,240.77325105667114,10.893323183059692,178.27433992044064
5,2026-05-04T03:30:49,-0.9935576255689531,0.16393847210753348,1,0.853244078269825,0.6515229736706247,0.6990191017036654,0.21048944626325103,0.49606299212598426,0.7777777777777778,0.11214953271028037,0.075,0.023255813953488372,0.012048192771084338,0.9101410153960053,0.5888850680401045,0.7676575635582559,0.4465721276325554,0.7951553014937004,0.5002729702617501,0.51191005531147,0.29365819803114707,0.0,240.78421831130981,10.89809274673462,178.19631793662967
6,2026-05-04T03:34:50,-1.119007603034077,0.21129638056761477,0,0.8326467559217302,0.4078471863706763,0.33970056788848735,0.27614462011379987,0.4657534246575342,0.8395061728395061,0.1910828025477707,0.375,0.17159763313609466,0.3493975903614458,0.9136290119181906,0.5956708253224333,0.7140088193584689,0.41259162028406177,0.6907781219525916,0.4087527114910557,0.47233838569918357,0.2683055413817079,0.0,240.73391699790955,10.885082483291626,178.40930493461389
7,2026-05-04T03:38:52,-1.197813634504408,0.1619070037718742,1,0.84346035015448,0.623128549303046,0.6809499225606608,0.21398739709500855,0.46715328467153283,0.7901234567901234,0.0392156862745098,0.025,0.13559322033898305,0.0963855421686747,0.9221069641634497,0.6263795523007553,0.7714358735116525,0.452140068392836,0.7874217844496775,0.48180471030175703,0.5201081103317827,0.31874443047833606,0.0,241.18632698059082,10.933195114135742,177.6241967445683
8,2026-05-04T03:42:53,-1.2478011154488429,0.17871290621578054,0,0.8388259526261586,0.42591636551368095,0.5389778007227671,0.24263160994280455,0.47686832740213525,0.8271604938271605,0.07017543859649122,0.05,0.18085106382978725,0.20481927710843373,0.9211114459791009,0.5965826046259047,0.7226540427507887,0.4232099825326861,0.7474958517080101,0.45018722071522826,0.489993269291273,0.29493909471240265,0.0,241.16400790214539,10.920903444290161,177.82411591738293
9,2026-05-04T03:46:54,-1.3017894021616687,0.1678382865684007,0,0.8759011328527292,0.5467217346411978,0.6138358286009292,0.2950788412128997,0.5136186770428015,0.8148148148148148,0.1925133689839572,0.225,0.1791044776119403,0.14457831325301204,0.9224462125354377,0.6171053323455208,0.7390878627790336,0.4342556458325883,0.771306088092667,0.47221726182949836,0.5078594133358691,0.3042690273309785,0.0,240.8116796016693,10.94860577583313,177.3741825910454
10,2026-05-04T03:50:55,-1.3295360937614569,0.16719357677364863,0,0.8640576725025747,0.5771812080536913,0.5425916365513681,0.18267866286299464,0.5061224489795918,0.7654320987654321,0.02040816326530612,0.0125,0.021505376344086023,0.012048192771084338,0.9296178082076335,0.6290493416789141,0.7689992273051898,0.4505411531606134,0.7653868614652537,0.4622346974649974,0.513941730768175,0.3029976725821033,0.0,241.00104761123657,10.899547338485718,178.17253686700383
