epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_spinal_canal,macro_auprc_spinal_canal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_val_weighted_logloss,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-06-03T03:05:32,0.5767103729625342,0.17542037688275816,1,0.8531969309462916,0.6219948849104859,0.6240409207161125,0.2025455796353629,0.4392156862745098,0.5137614678899083,0.10526315789473684,0.07317073170731707,0.06315789473684211,0.03529411764705882,0.8834102095050432,0.5747958817993355,0.7870772358857686,0.4716767491066345,0.786559000670839,0.4836430684736795,0.5100385664598831,0.29085398810545543,0.0,233.4879219532013,10.965612411499023,178.2846161833972
2,2026-06-03T03:09:26,-0.020448624937221258,0.17986278628469796,0,0.8664961636828644,0.49104859335038364,0.5969309462915601,0.15432098765432098,0.46296296296296297,0.45871559633027525,0.0,0.0,0.0,0.0,0.898746758318973,0.5977479237270192,0.7706373721752025,0.45693600067145645,0.8066418521148621,0.5017361117619878,0.5188066787201545,0.29614581579576343,0.0,233.85374116897583,11.0315580368042,177.21884737202146
3,2026-06-03T03:13:20,-0.4820461771905623,0.16349022595151777,1,0.8721227621483376,0.5877237851662405,0.6516624040920717,0.17824242424242423,0.512,0.5871559633027523,0.0,0.0,0.022727272727272728,0.011764705882352941,0.9116815100659319,0.6153273804157634,0.8026781977283205,0.4846111509727711,0.8088914745277823,0.5143894740041747,0.538109335130903,0.33963591484599975,0.0,233.37618708610535,11.017730951309204,177.44125434172935
4,2026-06-03T03:17:13,-0.8047941107340534,0.1670590415596962,0,0.8097186700767264,0.6184143222506394,0.639386189258312,0.1985474438785135,0.46842105263157896,0.8165137614678899,0.043010752688172046,0.024390243902439025,0.08421052631578947,0.047058823529411764,0.8929531825075502,0.5866506827058436,0.8046866991224221,0.4885956224584451,0.801196583480028,0.49364095853771744,0.5229624212340022,0.33191929152669103,0.0,233.03739547729492,11.038909196853638,177.10083171598362
5,2026-06-03T03:21:06,-1.0036716398968037,0.1801848838566452,0,0.8143222506393862,0.6230179028132993,0.5749360613810741,0.279154838762762,0.44819277108433736,0.8532110091743119,0.21978021978021978,0.24390243902439024,0.1694915254237288,0.11764705882352941,0.8994274837698194,0.6106697118007376,0.775531456292336,0.4638091091636854,0.741190573323579,0.4716803504037091,0.515386390456044,0.3475876020337357,0.0,233.45658016204834,11.025881052017212,177.31009347704943
6,2026-06-03T03:25:00,-1.0728654295507103,0.16144108315629344,1,0.8547314578005115,0.5652173913043478,0.6624040920716112,0.30005159958720334,0.5,0.6422018348623854,0.17647058823529413,0.14634146341463414,0.2236842105263158,0.2,0.9088302920998458,0.6127653929968527,0.7843834815459324,0.47085553726714063,0.8070536167293771,0.5088850762601641,0.5308353355080525,0.3470142267835367,0.0,232.58323049545288,10.93924880027771,178.71428246063562
7,2026-06-03T03:28:54,-1.2181627497528538,0.15891032441649386,1,0.8409207161125319,0.6296675191815857,0.7038363171355498,0.22657343566384844,0.5062240663900415,0.5596330275229358,0.08928571428571429,0.06097560975609756,0.08421052631578947,0.047058823529411764,0.9122727470434269,0.6128569553066376,0.7892131353298454,0.4700460787901905,0.8200151908262305,0.5113741620938519,0.53142573206356,0.32474780755366334,0.0,234.19762516021729,11.032196760177612,177.2085870564663
8,2026-06-03T03:32:49,-1.2485980142647972,0.1613588647976998,0,0.832225063938619,0.5442455242966752,0.6450127877237851,0.2495761887066235,0.5274725274725275,0.6605504587155964,0.043478260869565216,0.024390243902439025,0.17777777777777778,0.1411764705882353,0.906625656154203,0.5958179622847904,0.7954732138280628,0.4727111227748039,0.8094135639065806,0.5000999333056381,0.5228763394550775,0.3242625219283433,0.0,234.6351068019867,10.98401427268982,177.98593041351265
9,2026-06-03T03:36:42,-1.2410873212798277,0.16226051847941134,0,0.8603580562659846,0.5948849104859335,0.5969309462915601,0.30985491123163217,0.5602836879432624,0.7247706422018348,0.2222222222222222,0.24390243902439024,0.14705882352941177,0.11764705882352941,0.9202023385908845,0.630512960995753,0.7878513867594593,0.46676392262540567,0.7933090309719963,0.4907801838983608,0.5293523558398399,0.3428111194064418,0.0,233.30609679222107,10.959001779556274,178.39216010047562
10,2026-06-03T03:40:35,-1.2926417298188515,0.1661128903669055,0,0.830690537084399,0.47468030690537083,0.6567774936061381,0.25906802499728837,0.5244444444444445,0.5412844036697247,0.16580310880829016,0.1951219512195122,0.08695652173913043,0.047058823529411764,0.9168837405134815,0.6100941681773653,0.7545326550303527,0.4451047537257524,0.8136562041554702,0.5103781672148043,0.5218590297059741,0.3178814550967786,0.0,232.66904759407043,10.993397235870361,177.83401782490216
