epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,extra_val_weighted_logloss
1,2026-04-26T08:00:45,0.5913185018007873,0.5274266975541269,1,0.8867147270854789,0.7785234899328859,0.7656169334021683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5284045675839578
2,2026-04-26T08:01:39,0.5068400983439117,0.5001330173784687,1,0.8898043254376931,0.7785234899328859,0.771295818275684,0.057971014492753624,0.17391304347826086,0.09876543209876543,0.0,0.0,0.0,0.0,0.5011199310378712
3,2026-04-26T08:02:32,0.4875427824063379,0.488659821210369,1,0.893923789907312,0.7795560144553433,0.771295818275684,0.11904761904761905,0.35714285714285715,0.24691358024691357,0.0,0.0,0.0,0.0,0.489779557560501
4,2026-04-26T08:03:26,0.4754420594602335,0.4821582196220275,1,0.8954685890834192,0.780072276716572,0.7687145069695406,0.12389380530973453,0.37168141592920356,0.25925925925925924,0.0,0.0,0.0,0.0,0.48306053700047036
5,2026-04-26T08:04:20,0.4693255654123963,0.47547333855782786,1,0.8954685890834192,0.7790397521941146,0.7728446050593701,0.13213213213213212,0.3963963963963964,0.2716049382716049,0.0,0.0,0.0,0.0,0.4760738447246669
6,2026-04-26T08:05:14,0.4654006713726481,0.47221732716406545,1,0.8975283213182287,0.780072276716572,0.7687145069695406,0.1264367816091954,0.3793103448275862,0.2716049382716049,0.0,0.0,0.0,0.0,0.47310205231994
7,2026-04-26T08:06:07,0.460846125835278,0.47013157702261404,1,0.8964984552008239,0.7795560144553433,0.7687145069695406,0.13218390804597702,0.39655172413793105,0.2839506172839506,0.0,0.0,0.0,0.0,0.4707095395455429
8,2026-04-26T08:07:01,0.45725624214430327,0.46681635225972823,1,0.8964984552008239,0.7826535880227156,0.7681982447083118,0.13793103448275862,0.41379310344827586,0.2962962962962963,0.0,0.0,0.0,0.0,0.46745294958242883
9,2026-04-26T08:07:55,0.4569848458297917,0.466463299528245,1,0.8954685890834192,0.7821373257614869,0.7692307692307693,0.14207650273224043,0.4262295081967213,0.32098765432098764,0.0,0.0,0.0,0.0,0.4670402914490583
10,2026-04-26T08:08:48,0.4541143066570407,0.4661933385556744,1,0.8944387229660145,0.7826535880227156,0.7707795560144554,0.13953488372093023,0.4186046511627907,0.3333333333333333,0.0,0.0,0.0,0.0,0.46637019157600507
11,2026-04-26T08:09:42,0.4526620297158351,0.4634973685587606,1,0.8970133882595263,0.780072276716572,0.7676819824470831,0.14492753623188406,0.43478260869565216,0.30864197530864196,0.0,0.0,0.0,0.0,0.46397389428183483
12,2026-04-26T08:10:36,0.45026413681077176,0.46333488918119864,1,0.8970133882595263,0.7795560144553433,0.7687145069695406,0.14814814814814814,0.4444444444444444,0.32098765432098764,0.0,0.0,0.0,0.0,0.46366859228071106
13,2026-04-26T08:11:29,0.45009000501671775,0.46588496431227655,0,0.8954685890834192,0.7795560144553433,0.7676819824470831,0.15350877192982457,0.4605263157894737,0.43209876543209874,0.0,0.0,0.0,0.0,0.4661219917421449
14,2026-04-26T08:12:23,0.448151345380017,0.4625067999286036,1,0.893923789907312,0.7790397521941146,0.7676819824470831,0.14705882352941177,0.4411764705882353,0.37037037037037035,0.0,0.0,0.0,0.0,0.46310030875766833
15,2026-04-26T08:13:17,0.44633131755180044,0.46138403396452626,1,0.898043254376931,0.7769747031491998,0.7687145069695406,0.16485207444183145,0.4496124031007752,0.35802469135802467,0.0449438202247191,0.025,0.0,0.0,0.46192271045685745
16,2026-04-26T08:14:11,0.44592943201299573,0.46201118538456576,0,0.8954685890834192,0.7805885389778007,0.7656169334021683,0.1654447286160841,0.4492753623188406,0.38271604938271603,0.047058823529411764,0.025,0.0,0.0,0.4626541663762345
17,2026-04-26T08:15:05,0.4446053656398273,0.4596189135505307,1,0.8964984552008239,0.7769747031491998,0.7651006711409396,0.14933333333333335,0.448,0.345679012345679,0.0,0.0,0.0,0.0,0.4600766539738781
