epoch,train_loss,val_loss,val_mean_acc,val_mean_f1_macro,val_acc_pfirrmann,val_f1_macro_pfirrmann,f1_pfirrmann_class0,f1_pfirrmann_class1,f1_pfirrmann_class2,f1_pfirrmann_class3,f1_pfirrmann_class4,precision_pfirrmann_class0,precision_pfirrmann_class1,precision_pfirrmann_class2,precision_pfirrmann_class3,precision_pfirrmann_class4,recall_pfirrmann_class0,recall_pfirrmann_class1,recall_pfirrmann_class2,recall_pfirrmann_class3,recall_pfirrmann_class4,val_acc_modic,val_f1_macro_modic,f1_modic_class0,f1_modic_class1,f1_modic_class2,f1_modic_class3,precision_modic_class0,precision_modic_class1,precision_modic_class2,precision_modic_class3,recall_modic_class0,recall_modic_class1,recall_modic_class2,recall_modic_class3,val_acc_disc_narrowing,val_f1_macro_disc_narrowing,f1_disc_narrowing_class0,f1_disc_narrowing_class1,precision_disc_narrowing_class0,precision_disc_narrowing_class1,recall_disc_narrowing_class0,recall_disc_narrowing_class1,val_acc_spondylolisthesis,val_f1_macro_spondylolisthesis,f1_spondylolisthesis_class0,f1_spondylolisthesis_class1,precision_spondylolisthesis_class0,precision_spondylolisthesis_class1,recall_spondylolisthesis_class0,recall_spondylolisthesis_class1
1,1.0067928433418274,1.008490546606481,0.7319148936170213,0.5033706965816571,0.40425531914893614,0.408967927059806,0.4925373134328358,0.2564102564102564,0.38095238095238093,0.22641509433962265,0.6885245901639344,0.3707865168539326,0.22727272727272727,0.5405405405405406,0.4,0.75,0.7333333333333333,0.29411764705882354,0.29411764705882354,0.15789473684210525,0.6363636363636364,0.7574468085106383,0.33648459383753504,0.84593837535014,0.0,0.5,0.0,0.766497461928934,0.0,0.7105263157894737,0.0,0.94375,0.0,0.38571428571428573,0.0,0.8085106382978723,0.7788998306466788,0.8598130841121495,0.697986577181208,0.7885714285714286,0.8666666666666667,0.9452054794520548,0.5842696629213483,0.9574468085106383,0.4891304347826087,0.9782608695652174,0.0,0.9574468085106383,0.0,1.0,0.0
2,0.8978243350982666,0.964772324077785,0.7510638297872341,0.5323617021414763,0.49361702127659574,0.4897340957697137,0.5481481481481482,0.3058823529411765,0.47706422018348627,0.42424242424242425,0.6933333333333334,0.4111111111111111,0.38235294117647056,0.6341463414634146,0.5,0.6190476190476191,0.8222222222222222,0.2549019607843137,0.38235294117647056,0.3684210526315789,0.7878787878787878,0.7531914893617021,0.3606083943011167,0.8301886792452831,0.0,0.6122448979591837,0.0,0.8354430379746836,0.0,0.5844155844155844,0.0,0.825,0.0,0.6428571428571429,0.0,0.8042553191489362,0.7910868893011751,0.8435374149659864,0.7386363636363636,0.8378378378378378,0.7471264367816092,0.8493150684931506,0.7303370786516854,0.9531914893617022,0.4880174291938998,0.9760348583877996,0.0,0.9572649572649573,0.0,0.9955555555555555,0.0
3,0.8433901727199554,0.9379675975069404,0.7393617021276595,0.5443994787856297,0.48936170212765956,0.4861329454049814,0.5470085470085471,0.375,0.4716981132075472,0.417910447761194,0.6190476190476191,0.4444444444444444,0.4,0.6578947368421053,0.4827586206896552,0.5098039215686274,0.7111111111111111,0.35294117647058826,0.36764705882352944,0.3684210526315789,0.7878787878787878,0.7191489361702128,0.34617213996194884,0.7987012987012987,0.0,0.5859872611464968,0.0,0.831081081081081,0.0,0.5287356321839081,0.0,0.76875,0.0,0.6571428571428571,0.0,0.8042553191489362,0.792911877394636,0.8413793103448276,0.7444444444444445,0.8472222222222222,0.7362637362637363,0.8356164383561644,0.7528089887640449,0.9446808510638298,0.5523809523809524,0.9714285714285714,0.13333333333333333,0.9608695652173913,0.2,0.9822222222222222,0.1
4,0.8183137814203898,0.9147886149585247,0.7414893617021276,0.5621605303241253,0.5234042553191489,0.5139316192923097,0.5666666666666667,0.4044943820224719,0.5565217391304348,0.4,0.6419753086419753,0.4533333333333333,0.47368421052631576,0.6808510638297872,0.48148148148148145,0.5416666666666666,0.7555555555555555,0.35294117647058826,0.47058823529411764,0.34210526315789475,0.7878787878787878,0.723404255319149,0.3480831466268359,0.8025889967637541,0.0,0.5897435897435898,0.0,0.8322147651006712,0.0,0.5348837209302325,0.0,0.775,0.0,0.6571428571428571,0.0,0.8042553191489362,0.7937652625152625,0.8402777777777778,0.7472527472527473,0.852112676056338,0.7311827956989247,0.8287671232876712,0.7640449438202247,0.9148936170212766,0.5928620928620929,0.954954954954955,0.23076923076923078,0.9680365296803652,0.1875,0.9422222222222222,0.3
5,0.7864823043346405,0.8935201689600945,0.7393617021276595,0.5779723629382125,0.5319148936170213,0.5332043073167368,0.5740740740740741,0.4329896907216495,0.5094339622641509,0.5066666666666667,0.6428571428571429,0.49206349206349204,0.45652173913043476,0.7105263157894737,0.5135135135135135,0.5294117647058824,0.6888888888888889,0.4117647058823529,0.39705882352941174,0.5,0.8181818181818182,0.7021276595744681,0.3385808270676692,0.7828947368421053,0.0,0.5714285714285714,0.0,0.8263888888888888,0.0,0.5054945054945055,0.0,0.74375,0.0,0.6571428571428571,0.0,0.8127659574468085,0.8027319902319903,0.8472222222222222,0.7582417582417582,0.8591549295774648,0.7419354838709677,0.8356164383561644,0.7752808988764045,0.9106382978723404,0.6373723271364539,0.9521640091116174,0.3225806451612903,0.9766355140186916,0.23809523809523808,0.9288888888888889,0.5
6,0.7569225152333577,0.8904135832563043,0.7361702127659575,0.572704728667057,0.5106382978723404,0.5045526722037692,0.543859649122807,0.391304347826087,0.5405405405405406,0.4117647058823529,0.6352941176470588,0.4492753623188406,0.43902439024390244,0.6976744186046512,0.4666666666666667,0.5192307692307693,0.6888888888888889,0.35294117647058826,0.4411764705882353,0.3684210526315789,0.8181818181818182,0.7021276595744681,0.3385808270676692,0.7828947368421053,0.0,0.5714285714285714,0.0,0.8263888888888888,0.0,0.5054945054945055,0.0,0.74375,0.0,0.6571428571428571,0.0,0.825531914893617,0.8165495706479313,0.8571428571428571,0.7759562841530054,0.8723404255319149,0.7553191489361702,0.8424657534246576,0.797752808988764,0.9063829787234042,0.6311358447488584,0.9497716894977168,0.3125,0.9765258215962441,0.22727272727272727,0.9244444444444444,0.5
7,0.7434570689996084,0.8817946286872029,0.7382978723404254,0.5793182635355445,0.5234042553191489,0.5224584918133306,0.5585585585585585,0.43010752688172044,0.5192307692307693,0.46153846153846156,0.6428571428571429,0.4696969696969697,0.47619047619047616,0.75,0.45,0.5294117647058824,0.6888888888888889,0.39215686274509803,0.39705882352941174,0.47368421052631576,0.8181818181818182,0.6808510638297872,0.32918966837248664,0.7625418060200669,0.0,0.5542168674698795,0.0,0.8201438848920863,0.0,0.4791666666666667,0.0,0.7125,0.0,0.6571428571428571,0.0,0.8468085106382979,0.8404255319148937,0.8723404255319149,0.8085106382978723,0.9044117647058824,0.7676767676767676,0.8424657534246576,0.8539325842696629,0.902127659574468,0.6251993620414673,0.9473684210526315,0.30303030303030304,0.9764150943396226,0.21739130434782608,0.92,0.5
8,0.7355376998583476,0.8702578172087669,0.7425531914893617,0.5797298232874194,0.5319148936170213,0.5291475267621324,0.5585585585585585,0.38202247191011235,0.5614035087719298,0.4931506849315068,0.6506024096385542,0.4696969696969697,0.4473684210526316,0.6956521739130435,0.5142857142857142,0.54,0.6888888888888889,0.3333333333333333,0.47058823529411764,0.47368421052631576,0.8181818181818182,0.6978723404255319,0.33570696721311477,0.780327868852459,0.0,0.5625,0.0,0.8206896551724138,0.0,0.5,0.0,0.74375,0.0,0.6428571428571429,0.0,0.851063829787234,0.845129827336233,0.8754448398576512,0.8148148148148148,0.9111111111111111,0.77,0.8424657534246576,0.8651685393258427,0.8893617021276595,0.6089349718381977,0.9400921658986175,0.2777777777777778,0.9760765550239234,0.19230769230769232,0.9066666666666666,0.5
9,0.7237063705921173,0.8661814080551267,0.7382978723404255,0.57911504299107,0.5319148936170213,0.532872532428776,0.5714285714285714,0.42105263157894735,0.5192307692307693,0.49382716049382713,0.6588235294117647,0.5,0.45454545454545453,0.75,0.46511627906976744,0.5384615384615384,0.6666666666666666,0.39215686274509803,0.39705882352941174,0.5263157894736842,0.8484848484848485,0.6808510638297872,0.32899971868343847,0.7651006711409396,0.0,0.5508982035928144,0.0,0.8260869565217391,0.0,0.4742268041237113,0.0,0.7125,0.0,0.6571428571428571,0.0,0.851063829787234,0.8456529490138678,0.8745519713261649,0.8167539267015707,0.9172932330827067,0.7647058823529411,0.8356164383561644,0.8764044943820225,0.8893617021276595,0.6089349718381977,0.9400921658986175,0.2777777777777778,0.9760765550239234,0.19230769230769232,0.9066666666666666,0.5
10,0.7206576406955719,0.8592837126925588,0.7361702127659574,0.5756791727275313,0.5404255319148936,0.5393831548254666,0.5740740740740741,0.43478260869565216,0.5420560747663551,0.48717948717948717,0.6588235294117647,0.49206349206349204,0.4878048780487805,0.7435897435897436,0.475,0.5384615384615384,0.6888888888888889,0.39215686274509803,0.4264705882352941,0.5,0.8484848484848485,0.6808510638297872,0.3282250222834454,0.7641196013289037,0.0,0.5487804878048781,0.0,0.8156028368794326,0.0,0.4787234042553192,0.0,0.71875,0.0,0.6428571428571429,0.0,0.8340425531914893,0.8261735419630156,0.8631578947368421,0.7891891891891892,0.8848920863309353,0.7604166666666666,0.8424657534246576,0.8202247191011236,0.8893617021276595,0.6089349718381977,0.9400921658986175,0.2777777777777778,0.9760765550239234,0.19230769230769232,0.9066666666666666,0.5
11,0.7034115791320801,0.8585483785718679,0.7351063829787234,0.5714211724070549,0.5191489361702127,0.5122343067117934,0.5470085470085471,0.4090909090909091,0.5486725663716814,0.4057971014492754,0.6506024096385542,0.4444444444444444,0.4864864864864865,0.6888888888888889,0.45161290322580644,0.54,0.7111111111111111,0.35294117647058826,0.45588235294117646,0.3684210526315789,0.8181818181818182,0.6936170212765957,0.33383050016345206,0.7763157894736842,0.0,0.5590062111801242,0.0,0.8194444444444444,0.0,0.4945054945054945,0.0,0.7375,0.0,0.6428571428571429,0.0,0.8340425531914893,0.8254983720797395,0.8641114982578397,0.7868852459016393,0.8794326241134752,0.7659574468085106,0.8493150684931506,0.8089887640449438,0.8936170212765957,0.6141215106732347,0.9425287356321839,0.2857142857142857,0.9761904761904762,0.2,0.9111111111111111,0.5
12,0.6939862151940663,0.8637745431624353,0.7457446808510638,0.5843416774623629,0.5361702127659574,0.5383374357645636,0.5555555555555556,0.43010752688172044,0.5333333333333333,0.5060240963855421,0.6666666666666666,0.47619047619047616,0.47619047619047616,0.7567567567567568,0.4666666666666667,0.5625,0.6666666666666666,0.39215686274509803,0.4117647058823529,0.5526315789473685,0.8181818181818182,0.7021276595744681,0.33758786533481316,0.7843137254901961,0.0,0.5660377358490566,0.0,0.821917808219178,0.0,0.5056179775280899,0.0,0.75,0.0,0.6428571428571429,0.0,0.8382978723404255,0.8303055640012161,0.8671328671328671,0.7934782608695652,0.8857142857142857,0.7684210526315789,0.8493150684931506,0.8202247191011236,0.9063829787234042,0.6311358447488584,0.9497716894977168,0.3125,0.9765258215962441,0.22727272727272727,0.9244444444444444,0.5
13,0.6952758530775706,0.8499776870012283,0.7382978723404255,0.5747869613531209,0.5361702127659574,0.5304119852983165,0.5641025641025641,0.4186046511627907,0.5663716814159292,0.4444444444444444,0.6585365853658537,0.4583333333333333,0.5142857142857142,0.7111111111111111,0.47058823529411764,0.5510204081632653,0.7333333333333333,0.35294117647058826,0.47058823529411764,0.42105263157894735,0.8181818181818182,0.6936170212765957,0.33383050016345206,0.7763157894736842,0.0,0.5590062111801242,0.0,0.8194444444444444,0.0,0.4945054945054945,0.0,0.7375,0.0,0.6428571428571429,0.0,0.8382978723404255,0.8309480539148871,0.8661971830985915,0.7956989247311828,0.8913043478260869,0.7628865979381443,0.8424657534246576,0.8314606741573034,0.8851063829787233,0.603957306035828,0.9376443418013857,0.2702702702702703,0.9759615384615384,0.18518518518518517,0.9022222222222223,0.5
14,0.6806563615798951,0.8479176331311464,0.7382978723404255,0.5801561054251175,0.5276595744680851,0.5290608701531289,0.5585585585585585,0.41304347826086957,0.5192307692307693,0.4878048780487805,0.6666666666666666,0.4696969696969697,0.4634146341463415,0.75,0.45454545454545453,0.5625,0.6888888888888889,0.37254901960784315,0.39705882352941174,0.5263157894736842,0.8181818181818182,0.7021276595744681,0.33758786533481316,0.7843137254901961,0.0,0.5660377358490566,0.0,0.821917808219178,0.0,0.5056179775280899,0.0,0.75,0.0,0.6428571428571429,0.0,0.8340425531914893,0.8261735419630156,0.8631578947368421,0.7891891891891892,0.8848920863309353,0.7604166666666666,0.8424657534246576,0.8202247191011236,0.8893617021276595,0.6278021442495126,0.9398148148148148,0.3157894736842105,0.9806763285024155,0.21428571428571427,0.9022222222222223,0.6
15,0.6716027597586314,0.8491939622908831,0.7393617021276596,0.5818471497806953,0.5319148936170213,0.5323192039722103,0.5607476635514018,0.41304347826086957,0.5333333333333333,0.4878048780487805,0.6666666666666666,0.4838709677419355,0.4634146341463415,0.7567567567567568,0.45454545454545453,0.5490196078431373,0.6666666666666666,0.37254901960784315,0.4117647058823529,0.5263157894736842,0.8484848484848485,0.6978723404255319,0.33570696721311477,0.780327868852459,0.0,0.5625,0.0,0.8206896551724138,0.0,0.5,0.0,0.74375,0.0,0.6428571428571429,0.0,0.8382978723404255,0.8315602836879432,0.8652482269503546,0.7978723404255319,0.8970588235294118,0.7575757575757576,0.8356164383561644,0.8426966292134831,0.8893617021276595,0.6278021442495126,0.9398148148148148,0.3157894736842105,0.9806763285024155,0.21428571428571427,0.9022222222222223,0.6
16,0.6761745512485504,0.8406717842444777,0.7361702127659575,0.5770065231346908,0.548936170212766,0.5462490377161366,0.5607476635514018,0.4044943820224719,0.591304347826087,0.5,0.6746987951807228,0.4838709677419355,0.47368421052631576,0.723404255319149,0.5,0.56,0.6666666666666666,0.35294117647058826,0.5,0.5,0.8484848484848485,0.6978723404255319,0.33570696721311477,0.780327868852459,0.0,0.5625,0.0,0.8206896551724138,0.0,0.5,0.0,0.74375,0.0,0.6428571428571429,0.0,0.8382978723404255,0.8315602836879432,0.8652482269503546,0.7978723404255319,0.8970588235294118,0.7575757575757576,0.8356164383561644,0.8426966292134831,0.8595744680851064,0.5945098039215686,0.9223529411764706,0.26666666666666666,0.98,0.17142857142857143,0.8711111111111111,0.6
