n_samples,f1_macro,balanced_acc,class_0_precision,class_0_recall,class_0_f1,class_0_support,class_1_precision,class_1_recall,class_1_f1,class_1_support,class_2_precision,class_2_recall,class_2_f1,class_2_support,class_3_precision,class_3_recall,class_3_f1,class_3_support,disease,tier,prompt_template,slice_strategy,auc,class_4_precision,class_4_recall,class_4_f1,class_4_support,class_5_precision,class_5_recall,class_5_f1,class_5_support
1439,0.11680159340376735,0.25996543778801845,0.5029940119760479,0.36129032258064514,0.42052565707133915,930.0,0.020833333333333332,0.25,0.038461538461538464,4,0.0,0.0,0.0,498.0,0.004149377593360996,0.42857142857142855,0.00821917808219178,7.0,Modic,hard,med,static,,,,,,,,,
1439,0.44080002645808875,0.5206406809495677,0.6087912087912087,0.9651567944250871,0.7466307277628033,861.0,0.5945945945945946,0.07612456747404844,0.13496932515337423,578,,,,,,,,,UP_endplate,hard,med,static,0.7426937776545339,,,,,,,,
1439,0.451789492773482,0.5291091580944772,0.6055923473142016,0.9682352941176471,0.7451335445903123,850.0,0.6625,0.0899830220713073,0.15844544095665172,589,,,,,,,,,LOW_endplate,hard,med,static,0.747144711874563,,,,,,,,
1439,0.029827158489039548,0.5007158196134575,1.0,0.0014316392269148174,0.0028591851322373124,1397.0,0.029227557411273485,1.0,0.056795131845841784,42,,,,,,,,,Spondylolisthesis,medium,med,static,0.7446739612093944,,,,,,,,
1439,0.5223866206718845,0.7242865085248332,0.9803729146221786,0.7302631578947368,0.8370339338081274,1368.0,0.12142857142857143,0.7183098591549296,0.20773930753564154,71,,,,,,,,,Disc_herniation,medium,med,static,0.8015299398731571,,,,,,,,
1439,0.38844028899277516,0.49890829694323147,0.6360473208072372,0.9978165938864629,0.7768805779855503,916.0,0.0,0.0,0.0,523,,,,,,,,,Disc_narrowing,easy,med,static,0.8355285679694742,,,,,,,,
1439,0.7085220397917432,0.7116770978210477,0.6751152073732719,0.8150208623087621,0.7385003150598614,719.0,0.7670753064798599,0.6083333333333333,0.6785437645236251,720,,,,,,,,,Disc_bulging,medium,med,static,0.806146654303817,,,,,,,,
1439,0.14740460806851974,0.2788415145802493,,,,,0.17408906882591094,0.9862385321100917,0.2959394356503785,218,0.0,0.0,0.0,340.0,0.6,0.021897810218978103,0.04225352112676056,411.0,Pfirrman_grade,hard,med,static,,0.2727272727272727,0.010380622837370242,0.02,289.0,0.38202247191011235,0.3756906077348066,0.3788300835654596,181.0
