epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal
1,2026-04-26T08:41:58,1.544044640660286,0.1690533538476203,1,0.8959835221421215,0.766133195663397,0.7599380485286525,0.3592790651614181,0.5882352941176471,0.49382716049382713,0.26737967914438504,0.3125,0.2222222222222222,0.21686746987951808
2,2026-04-26T08:44:24,1.3976338488715037,0.18469388025705932,0,0.8990731204943357,0.6737222509034589,0.7124419204956117,0.29228200941506993,0.600896860986547,0.8271604938271605,0.17886178861788618,0.1375,0.0970873786407767,0.060240963855421686
3,2026-04-26T08:46:49,1.3284191538890202,0.16848298676739462,0,0.9016477857878475,0.7377387712958183,0.7614868353123386,0.3581759308337172,0.6521739130434783,0.7407407407407407,0.22388059701492538,0.1875,0.1984732824427481,0.1566265060240964
4,2026-04-26T08:49:15,1.2498615150472947,0.1894371863759932,0,0.880020597322348,0.6189984512132163,0.7243159525038719,0.2800290411909458,0.5671641791044776,0.4691358024691358,0.09900990099009901,0.0625,0.17391304347826086,0.12048192771084337
5,2026-04-26T08:51:40,1.213620817058143,0.17271803191206492,0,0.8717816683831102,0.7429013939081053,0.7418688693856479,0.33794137766709714,0.5948717948717949,0.7160493827160493,0.203125,0.1625,0.2158273381294964,0.18072289156626506
6,2026-04-26T08:54:06,1.1906063401805502,0.16170279820872055,0,0.9057672502574665,0.7738771295818275,0.7718120805369127,0.334068534446412,0.5970149253731343,0.7407407407407407,0.21875,0.175,0.1864406779661017,0.13253012048192772
7,2026-04-26T08:56:31,1.1431529249463763,0.1734525643574084,0,0.8810504634397528,0.7387712958182757,0.7305110996386164,0.2847434703017227,0.6375,0.6296296296296297,0.08080808080808081,0.05,0.13592233009708737,0.08433734939759036
8,2026-04-26T08:58:57,1.0927479906451134,0.1642467828335169,0,0.8970133882595263,0.7743933918430562,0.7645844088797109,0.2499691734715704,0.6210526315789474,0.7283950617283951,0.02247191011235955,0.0125,0.10638297872340426,0.060240963855421686
9,2026-04-26T09:01:22,1.0536968391211259,0.16996512379588893,0,0.9001029866117405,0.7114093959731543,0.7439339184305628,0.2509620953994628,0.620253164556962,0.6049382716049383,0.06741573033707865,0.0375,0.06521739130434782,0.03614457831325301
1,2026-04-26T09:20:17,1.507521464569228,0.16941129793845566,1,0.9088568486096807,0.7785234899328859,0.7759421786267424,0.2127659574468085,0.6382978723404256,0.5555555555555556,0.0,0.0,0.0,0.0
1,2026-04-26T09:36:10,1.4097371904622942,0.14933684134418193,1,0.880020597322348,0.6288074341765617,0.6375838926174496,0.24315264797507788,0.536,0.8271604938271605,0.09345794392523364,0.0625,0.1,0.060240963855421686
2,2026-04-26T09:38:36,1.3001532460252443,0.14867411641393855,1,0.8522142121524202,0.6303562209602478,0.6133195663397005,0.2872402734570035,0.49429657794676807,0.8024691358024691,0.24242424242424243,0.2,0.125,0.0963855421686747
3,2026-04-26T09:41:01,1.2231818614261492,0.1471335468966453,1,0.8511843460350155,0.6174496644295302,0.638616417139907,0.3453485719055159,0.4713804713804714,0.8641975308641975,0.27450980392156865,0.35,0.29015544041450775,0.3373493975903614
4,2026-04-26T09:43:27,1.1503216251730919,0.1461940690915767,0,0.8717816683831102,0.6365513680949922,0.6293236964377904,0.3066471918679835,0.6082474226804123,0.7283950617283951,0.15517241379310345,0.1125,0.1565217391304348,0.10843373493975904
5,2026-04-26T09:45:52,1.117500124286328,0.14079603073925107,0,0.8856848609680742,0.6582343830665979,0.6995353639648941,0.3351815065669983,0.5354330708661418,0.8395061728395061,0.2857142857142857,0.2875,0.18439716312056736,0.1566265060240964
6,2026-04-26T09:48:18,1.0599001226148435,0.1451403858455641,0,0.8681771369721936,0.6215797625193599,0.6148683531233867,0.27815345621978654,0.5079365079365079,0.7901234567901234,0.17699115044247787,0.125,0.14953271028037382,0.0963855421686747
7,2026-04-26T09:50:45,1.0152604196752821,0.14691019224135274,1,0.8614830072090628,0.6122870418172431,0.6277749096541043,0.35317218792568766,0.5,0.7530864197530864,0.2764976958525346,0.375,0.2830188679245283,0.3614457831325301
8,2026-04-26T09:53:12,0.9815520383772396,0.14244671992428315,0,0.8831101956745623,0.6659783169850284,0.6479091378420238,0.2892621602199674,0.5863874345549738,0.691358024691358,0.14414414414414414,0.1,0.13725490196078433,0.08433734939759036
9,2026-04-26T09:55:38,0.9401515471083778,0.13918749593157587,0,0.8748712667353244,0.6664945792462571,0.6933402168301497,0.33309131893747274,0.504,0.7777777777777778,0.2485207100591716,0.2625,0.24675324675324675,0.2289156626506024
10,2026-04-26T09:58:05,0.8999383551024255,0.13987606652386364,0,0.8815653964984552,0.6675271037687145,0.682498709344347,0.2933567332544315,0.5410628019323671,0.691358024691358,0.16806722689075632,0.125,0.17094017094017094,0.12048192771084337
11,2026-04-26T10:00:30,0.8782692415373666,0.14303408978415316,0,0.8583934088568486,0.6520392359318534,0.6355188435725349,0.3184273030387966,0.5446009389671361,0.7160493827160493,0.23880597014925373,0.2,0.171875,0.13253012048192772
12,2026-04-26T10:02:56,0.8669561948449839,0.14012410422491897,0,0.8759011328527292,0.6763035622096025,0.6680433660299432,0.3085887445887446,0.5367965367965368,0.7654320987654321,0.19696969696969696,0.1625,0.192,0.14457831325301204
13,2026-04-26T10:05:21,0.8296635215481122,0.14078200350978662,0,0.864572605561277,0.6608156943727413,0.6473928755807951,0.3427466034768985,0.5221238938053098,0.7283950617283951,0.25766871165644173,0.2625,0.2484472049689441,0.24096385542168675
14,2026-04-26T10:07:47,0.841802175875221,0.1413393285878695,0,0.8656024716786818,0.6721734641197729,0.6654620547237997,0.26814223512336716,0.5377358490566038,0.7037037037037037,0.1320754716981132,0.0875,0.1346153846153846,0.08433734939759036
15,2026-04-26T10:10:12,0.822013511686098,0.14010139763395968,0,0.8748712667353244,0.6566855962829117,0.6535880227155395,0.35089644449033225,0.5315315315315315,0.7283950617283951,0.26506024096385544,0.275,0.25609756097560976,0.25301204819277107
16,2026-04-26T10:12:38,0.8035543033409687,0.13953279765434767,0,0.8712667353244078,0.6768198244708312,0.6644295302013423,0.29343805704099823,0.5181818181818182,0.7037037037037037,0.20588235294117646,0.175,0.15625,0.12048192771084337
17,2026-04-26T10:15:04,0.7876764673207487,0.14098033986863542,0,0.8717816683831102,0.6541042849767682,0.6494579246257098,0.30826623725174446,0.5507246376811594,0.7037037037037037,0.2074074074074074,0.175,0.16666666666666666,0.13253012048192772
