epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-08-23T11:53:42,0.7867881152594444,0.1808274734636816,1,nan,0.5959493670886076,0.6091603053435114,0.25548915161751334,0.20930232558139536,0.225,0.3016759776536313,0.375,0.8058488506797884,0.49220457154766756,0.8057452442440997,0.5057390936426557,0.49897183259516165,0.21573430669199833,253.47545051574707,37.467554330825806,105.15765094276331
2,2026-08-23T11:57:55,0.6882286325855842,0.17750531861936164,1,nan,0.6086075949367089,0.6147582697201018,0.24571647887710063,0.21164021164021163,0.25,0.27979274611398963,0.375,0.8095780756541308,0.4944442992911002,0.8166027451836669,0.5161940926004159,0.505319195945758,0.2206130654190695,252.81713271141052,37.46090579032898,105.17631426352649
3,2026-08-23T12:02:08,0.6186504456539977,0.19594068366520295,0,nan,0.5159493670886076,0.5440203562340967,0.21743086800465095,0.183206106870229,0.15,0.25165562913907286,0.2638888888888889,0.80814897139887,0.49469521168890856,0.8114817544697354,0.5005094791194721,0.49760234540419035,0.20637243908811254,252.87650513648987,37.47502422332764,105.13668987964014
4,2026-08-23T12:06:21,0.522321263984204,0.16701753075651526,0,nan,0.6779746835443038,0.6340966921119593,0.2454947484798231,0.2074074074074074,0.175,0.2835820895522388,0.2638888888888889,0.8210709924181926,0.5084989021766785,0.8208104203483337,0.5198480542427515,0.5141734782097149,0.21512727610647409,252.5984582901001,37.365703105926514,105.4442890805682
5,2026-08-23T12:11:14,0.4742615563318112,0.19847434138844494,1,nan,0.5443037974683544,0.5374045801526718,0.26137474703835917,0.25125628140703515,0.3125,0.27149321266968324,0.4166666666666667,0.807169817857893,0.4970771654758856,0.8061416249466679,0.5083137202477715,0.5026954428618285,0.23434126053157667,293.1237881183624,37.40225696563721,105.34123658954108
6,2026-08-23T12:15:27,0.38918023003209934,0.17314419520976365,0,nan,0.6430379746835443,0.616793893129771,0.1926255562619199,0.15384615384615385,0.1125,0.23140495867768596,0.19444444444444445,0.8184215545496447,0.5044257216643673,0.821241899882169,0.5101492181603595,0.5072874699123634,0.19591712201528827,252.77174758911133,37.47352147102356,105.14090604072557
7,2026-08-23T12:19:39,0.36382131103579024,0.19331692153240615,0,nan,0.5802531645569621,0.5328244274809161,0.2444678226801132,0.22077922077922077,0.2125,0.2681564245810056,0.3333333333333333,0.8095557327983759,0.5023277520339189,0.8092019970102794,0.503165297843276,0.5027465249385974,0.21890309629811827,252.3981318473816,37.41162347793579,105.31486296828817
8,2026-08-23T12:23:52,0.3245476616659798,0.16337102641264323,1,nan,0.6805063291139241,0.6620865139949109,0.25857843137254904,0.25833333333333336,0.3875,0.25882352941176473,0.4583333333333333,0.8197490111050453,0.512725976278095,0.8201652069963824,0.5248765140349972,0.5188012451565461,0.24818360519848298,252.90070152282715,37.41053557395935,105.3179255402734
9,2026-08-23T12:28:05,0.2635972893347666,0.18067039458074774,0,nan,0.6060759493670886,0.5923664122137404,0.25834133647262925,0.21301775147928995,0.225,0.3036649214659686,0.4027777777777778,0.8161989119953309,0.5084198296299347,0.8130501068093521,0.5214033658541624,0.5149115977420485,0.24670309986361252,253.04218792915344,37.50049877166748,105.06526923787915
10,2026-08-23T12:32:18,0.25147164565586133,0.19371466806078796,1,nan,0.5311392405063291,0.5582697201017812,0.2620896184560781,0.22826086956521738,0.2625,0.29591836734693877,0.4027777777777778,0.8071378862161364,0.5055532156506249,0.8072583796333088,0.5151256892289949,0.5103394524398099,0.2557857844574118,252.92501878738403,37.467987298965454,105.15643577440812
11,2026-08-23T12:36:31,0.2541209536023659,0.1782213665607026,1,nan,0.599493670886076,0.6223918575063613,0.25947527917306656,0.22935779816513763,0.3125,0.2895927601809955,0.4444444444444444,0.81512644653944,0.516379120710967,0.8173595755971889,0.518205621413053,0.5172923710620101,0.2589133752959367,252.8004608154297,37.48099613189697,105.11993827845446
12,2026-08-23T12:40:44,0.19646959518947898,0.17108220542939084,1,nan,0.6248101265822785,0.628498727735369,0.25787944807552654,0.20987654320987653,0.2125,0.3058823529411765,0.3611111111111111,0.8211033642598919,0.5189200757226466,0.8190354655863352,0.5284176854640973,0.523668880593372,0.26388235225281853,252.70773792266846,37.507978200912476,105.04431827530895
13,2026-08-23T12:44:57,0.1938216571592037,0.17082576134598476,1,nan,0.6268354430379747,0.6361323155216285,0.2597560975609756,0.21951219512195122,0.225,0.3,0.3333333333333333,0.8209008043767558,0.5215032634530545,0.8227210250281122,0.529718794200042,0.5256110288265483,0.26649573658389614,252.8790147304535,37.50812315940857,105.04391230814457
14,2026-08-23T12:49:10,0.1759478204911298,0.18054589690626405,1,nan,0.6070886075949367,0.5770992366412214,0.25743727076905165,0.2247191011235955,0.25,0.29015544041450775,0.3888888888888889,0.8164719583592813,0.5205198777753423,0.8147357013154074,0.5208769438958892,0.5206984108356157,0.2705273604654377,252.8667712211609,37.504958629608154,105.05277552524964
15,2026-08-23T12:53:22,0.15755621947695883,0.17117981890967782,0,nan,0.6374683544303797,0.6274809160305344,0.24184852374839538,0.21052631578947367,0.25,0.2731707317073171,0.3888888888888889,0.8202604278091815,0.5229176523279718,0.8195131336694156,0.521431515257462,0.522174583792717,0.2579461652451772,252.8212535381317,37.496798038482666,105.07563861736699
16,2026-08-23T12:57:36,0.1403882680974553,0.16427897862562948,0,nan,0.6587341772151899,0.6544529262086514,0.25031577791202153,0.1984732824427481,0.1625,0.302158273381295,0.2916666666666667,0.8281412484547266,0.5320668988890279,0.8267792618914043,0.5311157822972338,0.5315913405931308,0.26471518695068375,253.0443925857544,37.478543758392334,105.12681670343024
